name,age,country,value,position,season,team
Cauley Woodrow,29,England,€1.00m,Centre-Forward,2024,luton-town
Joe Taylor,22,"Wales, England",€350k,Centre-Forward,2024,luton-town
Anthony Patterson,24,England,€12.00m,Goalkeeper,2024,afc-sunderland
Simon Moore,34,England,€200k,Goalkeeper,2024,afc-sunderland
Blondy Nna Noukeu,23,"Cameroon, Belgium",€150k,Goalkeeper,2024,afc-sunderland
Chris Mepham,27,"Wales, England",€6.00m,Centre-Back,2024,afc-sunderland
Daniel Ballard,25,"Northern Ireland, England",€4.00m,Centre-Back,2024,afc-sunderland
Jenson Seelt,21,Netherlands,€2.00m,Centre-Back,2024,afc-sunderland
Luke O'Nien,30,England,€1.80m,Centre-Back,2024,afc-sunderland
Aji Alese,23,"England, Nigeria",€1.00m,Centre-Back,2024,afc-sunderland
Joe Anderson,23,England,€175k,Centre-Back,2024,afc-sunderland
Dennis Cirkin,22,"England, Ireland",€2.00m,Left-Back,2024,afc-sunderland
Leo Fuhr Hjelde,21,"Norway, England",€1.50m,Left-Back,2024,afc-sunderland
Niall Huggins,23,"Wales, England",€800k,Left-Back,2024,afc-sunderland
Trai Hume,22,Northern Ireland,€7.00m,Right-Back,2024,afc-sunderland
Salis Abdul Samed,24,"Ghana, Cote d'Ivoire",€8.00m,Defensive Midfield,2024,afc-sunderland
Chris Rigg,17,England,€9.00m,Central Midfield,2024,afc-sunderland
Dan Neil,22,England,€5.00m,Central Midfield,2024,afc-sunderland
Alan Browne,29,Ireland,€3.00m,Central Midfield,2024,afc-sunderland
Milan Aleksic,19,Serbia,€700k,Central Midfield,2024,afc-sunderland
Abdoullah Ba,21,"France, Mauritania",€4.00m,Right Midfield,2024,afc-sunderland
Jobe Bellingham,19,England,€12.00m,Attacking Midfield,2024,afc-sunderland
Adil Aouchiche,22,"France, Algeria",€2.50m,Attacking Midfield,2024,afc-sunderland
Romaine Mundle,21,"England, Jamaica",€2.00m,Left Winger,2024,afc-sunderland
Jewison Bennette,20,Costa Rica,€900k,Left Winger,2024,afc-sunderland
Patrick Roberts,27,England,€3.20m,Right Winger,2024,afc-sunderland
Ian Poveda,24,"Colombia, England",€900k,Right Winger,2024,afc-sunderland
Wilson Isidor,24,"France, Haiti",€4.00m,Centre-Forward,2024,afc-sunderland
Aaron Connolly,24,Ireland,€2.50m,Centre-Forward,2024,afc-sunderland
Nazariy Rusyn,26,Ukraine,€2.00m,Centre-Forward,2024,afc-sunderland
Eliezer Mayenda,19,"Spain, France",€1.00m,Centre-Forward,2024,afc-sunderland
Ahmed Abdullahi,20,Nigeria,€1.00m,Centre-Forward,2024,afc-sunderland
