player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Przemysław Płacheta,POL,Oxford United,26,Midfielder,619.0,6.877777777777778,9.799676898222941,0.0,0.14539579967689822,0.0,3.6348949919224554,0.7269789983844911,0.0,8.723747980613894,5.9612277867528265,0.14539579967689822,0.7269789983844911,2.9079159935379644,0.5815831987075929,2.0791599353796446,1.308562197092084,0.7269789983844911,0.14539579967689822,2.9079159935379644
Mileta Rajovic,DEN,Watford,25,Forward,1042.0,11.577777777777778,5.182341650671785,0.0,0.0,0.08637236084452975,4.318618042226488,0.08637236084452975,0.0,0.43186180422264875,0.6046065259117083,0.0,0.0,0.1727447216890595,0.0,1.5719769673704413,0.0,0.0,0.0,0.0
Joe Ralls,ENG,Cardiff City,31,Midfielder,1070.0,11.88888888888889,6.577570093457944,0.08411214953271028,0.2523364485981308,0.0,2.800934579439252,2.0186915887850465,0.16822429906542055,22.289719626168225,7.822429906542056,0.16822429906542055,0.4205607476635514,0.9252336448598131,0.6728971962616822,4.676635514018692,3.1121495327102804,0.8411214953271028,0.4205607476635514,2.7757009345794392
Largie Ramazani,BEL,Leeds United,23,Forward,1220.0,13.555555555555555,5.554918032786885,0.07377049180327869,0.8114754098360656,0.22131147540983606,2.766393442622951,1.1065573770491803,0.07377049180327869,7.745901639344263,7.967213114754099,0.6639344262295082,1.6229508196721312,3.3934426229508197,0.36885245901639346,0.0,0.5901639344262295,0.8114754098360656,0.22131147540983606,1.5491803278688525
Aaron Ramsey,WAL,Cardiff City,33,Midfielder,1073.0,11.922222222222222,6.676607642124883,0.0,0.33550792171481825,0.0,4.193849021435228,0.7548928238583411,0.0,12.49767008387698,5.70363466915191,0.08387698042870456,0.4193849021435228,1.5936626281453867,0.4193849021435228,2.7931034482758617,0.6710158434296365,0.8387698042870456,0.16775396085740912,1.4259086672879775
Michael Reindorf,ENG,Cardiff City,19,Forward,491.0,5.455555555555556,11.456211812627291,0.0,0.0,0.0,0.0,0.18329938900203666,0.0,0.7331975560081466,1.64969450101833,0.0,0.18329938900203666,0.18329938900203666,0.0,0.0,0.18329938900203666,0.18329938900203666,0.0,0.3665987780040733
Chris Rigg,ENG,Sunderland,17,Midfielder,1200.0,13.333333333333334,5.7,0.0,1.275,0.22499999999999998,2.6999999999999997,3.75,0.525,26.25,18.825,1.2,1.875,6.6,0.6,2.295,2.25,1.425,0.375,4.2
Emil Riis Jakobsen,DEN,Preston,26,Forward,1089.0,12.1,5.074380165289257,0.1652892561983471,0.578512396694215,0.4132231404958678,3.3057851239669422,2.066115702479339,0.3305785123966942,13.388429752066116,16.859504132231404,0.9917355371900827,1.8181818181818183,7.024793388429752,0.578512396694215,2.0330578512396698,0.8264462809917356,0.9917355371900827,0.1652892561983471,2.479338842975207
Alexander Robertson,AUS,Cardiff City,21,Midfielder,1441.0,16.011111111111113,5.121443442054129,0.06245662734212352,0.49965301873698814,0.12491325468424704,1.561415683553088,2.5607217210270643,0.06245662734212352,25.232477446217903,12.553782095766827,0.49965301873698814,0.4371963913948646,1.1242192921582232,0.49965301873698814,3.747397640527411,3.497571131158917,1.311589174184594,1.1242192921582232,3.6849410131852878
Callum Robinson,IRL,Cardiff City,29,Forward,1025.0,11.38888888888889,6.813658536585365,0.0,0.43902439024390244,0.43902439024390244,4.021463414634146,1.84390243902439,0.2634146341463415,12.81951219512195,11.678048780487805,0.6146341463414634,1.7560975609756098,4.302439024390244,0.0,2.6341463414634148,0.7024390243902439,0.17560975609756097,0.08780487804878048,2.0195121951219512
