player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
Jamilu Collins,NGA,Cardiff City,30,1994,1.2,,Defender,0,0,0,0,0.00,0.00,28,43,65.1,15,22,68.2,7,8,87.5,6,11,54.5,0,1,1,3,0,1,3,28,3,0,0,4,2,2,1,1,1,0,1,1,10,0,61,23,12,0,0,0,0,25,0,1,0,1,0,23,5,16.3,17,1463,1,3,1,2,4,1,1,50.0
Rubin Colwill,WAL,Cardiff City,22,2002,13.0,Forward,Midfielder,1,34,16,47.1,2.61,1.23,347,434,80.0,174,196,88.8,122,150,81.3,34,51,66.7,3,35,13,56,2,1,29,347,15,59,4,24,16,7,11,6,13,3,10,3,5,0,623,303,261,48,62,28,45.2,399,41,21,13,35,22,440,67,0,0,0,1,29,3,16,64,7,6,53.8
Aaron Connolly,IRL,Sunderland,24,2000,2.4,Midfielder,Forward,1,3,3,100.0,1.27,1.27,9,15,60.0,5,8,62.5,4,5,80.0,0,0,0,0,1,0,1,0,0,0,9,0,1,1,2,1,0,1,1,0,0,0,0,2,0,36,17,16,5,4,2,50.0,29,0,0,2,4,5,27,9,13.7,14,1236,1,0,0,1,4,2,10,16.7
Tommy Conway,SCO,Middlesbrough,22,2002,7.4,Midfielder,Forward,6,15,7,46.7,2.03,0.95,138,163,84.7,79,88,89.8,44,53,83.0,11,11,100.0,0,9,6,20,0,0,9,138,6,20,0,6,4,2,2,2,4,0,4,1,2,0,228,64,156,45,18,4,22.2,146,21,10,11,7,11,177,65,0.2,1,17,4,9,1,4,9,1,8,11.1
Steve Cook,ENG,QPR,33,1991,16.0,,Defender,0,7,3,42.9,0.44,0.19,695,875,79.4,170,193,88.1,400,446,89.7,122,224,54.5,0,42,4,38,1,9,11,695,9,18,0,13,10,12,0,1,23,18,5,16,91,0,1038,377,53,18,1,1,100.0,561,6,4,0,4,1,648,5,0,0,0,0,11,16,10,31,37,18,67.3
Jake Cooper,ENG,Millwall,29,1995,14.5,,Defender,2,20,7,35.0,1.38,0.48,324,464,69.8,78,111,70.3,193,227,85.0,53,116,45.7,1,14,1,16,1,4,0,324,2,14,3,8,5,5,2,1,10,8,2,5,74,2,610,212,64,44,5,1,20.0,261,3,1,1,11,0,352,7,13.4,14,1206,4,0,5,5,34,75,27,73.5
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,1/3,PPA,PrgP,TB,Sw,Crs,Cmp,Blocks,SCA,GCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Clr,Err,Touches,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Succ%,Carries,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,90s,MP,Min,Off,Crs,Int,TklW,Recov,Won,Lost,Won%
Michael Cooper,ENG,Sheffield Utd,25,1999,15.0,,Goalkeeper,0,0,0,0,0.00,0.00,451,581,77.6,42,42,100.0,265,266,99.6,144,269,53.5,0,11,1,0,0,2,0,451,0,1,0,0,0,0,0,0,0,0,0,0,9,1,611,6,0,0,0,0,0,359,0,0,0,0,0,333,0,0,0,0,0,0,0,0,14,4,0,100.0
Oliver Cooper,WAL,Swansea City,24,1999,8.2,Forward,Midfielder,1,5,1,20.0,0.61,0.12,184,225,81.8,112,128,87.5,59,70,84.3,7,12,58.3,1,18,12,28,1,1,10,184,7,18,2,15,10,2,10,3,10,1,9,5,4,0,291,137,125,14,10,3,30.0,198,22,24,5,6,8,212,41,0,0,0,0,10,5,10,26,1,1,50.0
José Cordoba,PAN,Norwich City,23,2001,9.6,,Defender,0,5,1,20.0,0.52,0.10,808,890,90.8,367,381,96.3,390,408,95.6,46,88,52.3,0,30,3,27,0,2,2,808,5,8,0,11,6,8,2,1,10,6,4,12,35,0,982,414,22,6,2,2,100.0,644,3,2,0,5,6,758,2,0,0,0,0,2,12,6,57,14,16,46.7
