player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Brenden Aaronson,USA,Leeds United,24,Midfielder,1144.0,12.71111111111111,6.340909090909091,0.07867132867132867,1.2587412587412588,0.3146853146853147,1.903846153846154,4.16958041958042,0.3146853146853147,23.444055944055947,24.152097902097903,1.7307692307692308,1.7307692307692308,6.608391608391609,1.0227272727272727,2.541083916083916,2.124125874125874,1.8881118881118881,0.07867132867132867,4.090909090909091
Elijah Adebayo,ENG,Luton Town,26,Forward,1207.0,13.411111111111111,5.316487158243579,0.0,0.3728251864125932,0.14913007456503727,3.4821872410936208,1.5658657829328915,0.0,6.114333057166529,14.24192212096106,0.820215410107705,0.820215410107705,3.877381938690969,0.0,3.0869925434962715,0.14913007456503727,0.44739022369511183,0.29826014913007454,2.013256006628003
Enock Agyei,BEL,Burnley,19,Forward,1099.0,12.21111111111111,6.215650591446771,0.0,0.1637852593266606,0.0,0.0,0.0818926296633303,0.0,1.3921747042766153,1.8016378525932668,0.1637852593266606,0.6551410373066424,0.9827115559599636,0.0818926296633303,2.0473157415832577,0.2456778889899909,0.3275705186533212,0.0,0.1637852593266606
Zeki Amdouni,SUI,Burnley,23,Midfielder,990.0,11.0,7.654545454545455,0.0,0.0,0.09090909090909091,9.090909090909092,0.09090909090909091,0.09090909090909091,1.7272727272727273,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.2727272727272727
Jaidon Anthony,ENG,Burnley,24,Forward,606.0,6.733333333333333,10.81188118811881,0.297029702970297,1.7821782178217822,0.1485148514851485,4.7227722772277225,6.3861386138613865,0.44554455445544555,29.85148514851485,39.05940594059406,1.4851485148514851,7.574257425742574,14.554455445544555,0.8910891089108911,2.7920792079207923,8.168316831683168,1.7821782178217822,1.188118811881188,5.792079207920792
Sinclair Armstrong,IRL,Bristol City,21,Forward,963.0,10.7,6.953271028037384,0.0,0.1869158878504673,0.1869158878504673,4.91588785046729,0.8411214953271029,0.09345794392523366,4.85981308411215,9.532710280373832,0.09345794392523366,1.4953271028037385,5.327102803738318,0.09345794392523366,0.7476635514018692,0.1869158878504673,0.1869158878504673,0.1869158878504673,1.1214953271028039
Femi Azeez,ENG,Millwall,23,Forward,660.0,7.333333333333333,7.009090909090909,0.27272727272727276,1.090909090909091,0.0,6.204545454545455,1.5,0.27272727272727276,8.318181818181818,12.954545454545455,0.13636363636363638,3.0,3.9545454545454546,0.6818181818181819,5.454545454545455,3.409090909090909,1.7727272727272727,0.27272727272727276,3.272727272727273
Lewis Baker,ENG,Blackburn,29,Forward,1242.0,13.8,5.565217391304348,0.0,0.0,0.07246376811594203,3.623188405797101,0.21739130434782608,0.0,2.753623188405797,1.9565217391304346,0.07246376811594203,0.43478260869565216,0.43478260869565216,0.14492753623188406,3.623188405797101,0.21739130434782608,0.21739130434782608,0.07246376811594203,0.7971014492753623
Patrick Bamford,ENG,Leeds United,31,Forward,438.0,4.866666666666666,11.568493150684931,0.0,0.0,0.0,0.0,0.0,0.0,3.2876712328767126,2.8767123287671237,0.20547945205479454,0.0,1.2328767123287672,0.0,10.273972602739727,0.4109589041095891,0.0,0.20547945205479454,0.20547945205479454
Shandon Baptiste,GRN,Luton Town,26,Midfielder,591.0,6.566666666666666,12.152284263959391,0.0,1.218274111675127,0.0,0.0,2.284263959390863,0.15228426395939088,21.776649746192895,12.944162436548224,0.30456852791878175,0.6091370558375635,1.5228426395939088,0.6091370558375635,7.614213197969543,1.9796954314720814,1.3705583756345179,1.0659898477157361,3.0456852791878175
