player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
Louie Sibley,ENG,Oxford United,23,2001,1.7,,Midfielder,1,5,2,40.0,2.96,1.18,27,34,79.4,17,18,94.4,6,9,66.7,4,6,66.7,0,3,0,1,0,0,3,27,1,6,0,5,1,1,4,0,0,0,0,0,3,0,59,26,21,5,5,2,40.0,34,3,0,0,6,2,33,5,3.6,4,323,0,3,0,1,7,0,3,0.0
Sol Sidibé,FRA,Stoke City,17,2007,2.6,,Midfielder,0,0,0,0,0.00,0.00,95,119,79.8,50,56,89.3,33,39,84.6,6,12,50.0,1,7,1,11,1,1,0,95,4,7,1,2,1,0,2,0,2,0,2,2,2,0,132,84,15,0,2,2,100.0,71,0,1,0,1,1,96,1,16.0,16,1440,0,0,2,1,12,3,3,50.0
Francisco Sierralta,CHI,Watford,27,1997,10.0,,Defender,0,3,0,0.0,0.30,0.00,486,548,88.7,208,224,92.9,252,274,92.0,22,36,61.1,0,13,0,12,0,0,0,486,4,7,1,13,9,7,6,0,19,15,4,15,63,0,662,275,16,11,0,0,0,340,0,2,0,1,0,431,2,0,0,0,1,0,15,9,26,30,8,78.9
Arnór Sigurðsson,ISL,Blackburn,25,1999,0.7,Midfielder,Forward,1,2,1,50.0,2.90,1.45,23,26,88.5,13,14,92.9,7,9,77.8,3,3,100.0,0,1,1,7,0,0,1,23,0,4,1,1,1,0,1,0,1,0,1,0,0,0,31,12,17,2,2,2,100.0,20,1,3,0,0,2,23,6,12.6,18,1135,0,1,0,1,5,1,2,33.3
Sam Silvera,AUS,Portsmouth,24,2000,4.3,Midfielder,Forward,0,6,4,66.7,1.41,0.94,85,116,73.3,38,49,77.6,41,49,83.7,5,12,41.7,0,2,6,7,0,0,11,85,5,8,0,12,7,0,8,4,3,0,3,1,2,0,176,70,97,8,12,5,41.7,122,14,12,7,16,7,126,34,1.2,6,109,0,11,1,7,12,5,3,62.5
Ellis Simms,ENG,Coventry City,23,2001,8.6,,Forward,2,24,8,33.3,2.80,0.93,62,92,67.4,36,49,73.5,22,30,73.3,3,7,42.9,1,3,1,6,0,1,4,62,2,12,0,0,0,0,0,0,0,0,0,0,5,1,156,64,80,41,8,2,25.0,82,12,7,8,15,5,103,30,10.9,17,982,1,4,0,0,13,18,18,50.0
Xavier Simons,ENG,Hull City,21,2003,11.7,,Midfielder,2,15,4,26.7,1.28,0.34,390,451,86.5,139,159,87.4,194,209,92.8,48,63,76.2,0,35,9,36,1,6,8,390,3,19,0,18,8,4,11,3,18,13,5,10,20,0,553,329,102,13,5,4,80.0,331,18,10,1,8,6,356,13,1.5,6,131,0,8,10,8,55,14,15,48.3
Nathan Simpson,ENG,Middlesbrough,20,2004,0.0,,Forward,0,0,0,0,0.00,0.00,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,10.5,14,942,0,0,0,0,0,0,0,0
Emmanouil Siopis,GRE,Cardiff City,30,1994,9.7,,Midfielder,0,3,1,33.3,0.31,0.10,330,388,85.1,159,171,93.0,140,157,89.2,28,41,68.3,0,32,1,37,1,5,2,330,8,14,1,26,17,10,13,3,20,3,17,10,16,0,495,323,59,0,9,6,66.7,243,2,8,0,10,11,296,5,3.8,11,344,0,2,10,17,51,4,9,30.8
Moussa Sissoko,FRA,Watford,35,1989,14.1,,Midfielder,1,8,3,37.5,0.57,0.21,512,593,86.3,264,292,90.4,199,223,89.2,34,47,72.3,0,50,7,52,2,6,5,512,8,20,1,26,21,11,12,3,9,3,6,9,23,0,702,404,137,17,14,4,28.6,325,18,17,4,22,2,452,31,0.4,1,34,2,5,9,21,62,18,0,100.0
Regan Slater,ENG,Hull City,25,1999,13.8,,Midfielder,1,19,4,21.1,1.37,0.29,354,430,82.3,199,219,90.9,119,145,82.1,17,30,56.7,0,19,14,40,1,3,16,354,14,31,0,21,15,5,9,7,9,2,7,5,11,0,530,220,208,28,21,13,61.9,327,22,18,4,15,24,380,50,4.3,5,389,0,16,5,15,65,3,20,13.0
Michael Smith,ENG,Sheffield Weds,33,1991,8.2,,Forward,5,21,10,47.6,2.56,1.22,123,201,61.2,70,107,65.4,37,54,68.5,6,12,50.0,2,5,5,11,1,2,5,123,3,25,4,7,5,1,2,4,9,3,6,4,20,0,292,131,132,42,10,2,20.0,137,3,2,2,12,6,211,44,11.5,15,1037,3,5,4,5,15,46,30,60.5
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,1/3,PPA,PrgP,TB,Sw,Crs,Cmp,Blocks,SCA,GCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Clr,Err,Touches,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Succ%,Carries,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,90s,MP,Min,Off,Crs,Int,TklW,Recov,Won,Lost,Won%
