player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting
James Bolton,ENG,Fleetwood Town,30,1994,5.8,,Defender,0,4,0,0.0,0.69,0.00
Elliott Bonds,GUY,Fleetwood Town,24,2000,11.3,,Midfielder,0,11,0,0.0,0.97,0.00
Geoffroy Bony,WAL,Newport County,19,2004,0.1,,Forward,0,0,0,0,0.00,0.00
Ryan Boot,ENG,Chesterfield,30,1994,12.0,,Goalkeeper,0,0,0,0,0.00,0.00
Ryan Bowman,ENG,Cheltenham,32,1991,7.8,,Forward,2,13,5,38.5,1.66,0.64
Tom Bradbury,ENG,Cheltenham,26,1998,13.0,,Defender,1,5,2,40.0,0.38,0.15
Zak Bradshaw,ENG,Tranmere Rovers,21,2003,5.7,Defender,Midfielder,0,5,1,20.0,0.88,0.18
Kian Breckin,ENG,Crewe Alexandra,20,2003,3.4,,Midfielder,0,3,0,0.0,0.88,0.00
Gabriel Breeze,ENG,Carlisle United,20,2003,3.0,,Goalkeeper,0,0,0,0,0.00,0.00
Ciaran Brennan,IRL,Newport County,24,2000,12.6,,Defender,0,2,1,50.0,0.16,0.08
George Broadbent,ENG,Doncaster,24,2000,6.0,,Midfielder,0,2,0,0.0,0.33,0.00
Ryan Broom,WAL,Fleetwood Town,28,1996,2.5,,Forward,0,0,0,0,0.00,0.00
Charlie Brown,ENG,Morecambe,25,1999,0.4,,Forward,0,0,0,0,0.00,0.00
Jaxon Brown,,Swindon Town,0,0,0.3,,Midfielder,0,1,0,0.0,3.21,0.00
Jevani Brown,JAM,Notts County,30,1994,5.3,,Midfielder,0,11,4,36.4,2.09,0.76
Omar Bugiel,LIB,AFC Wimbledon,30,1994,12.9,,Forward,3,26,9,34.6,2.02,0.70
Tyler Burey,ENG,Carlisle United,23,2001,3.4,,Midfielder,0,3,0,0.0,0.89,0.00
Harry Burgoyne,ENG,Morecambe,27,1996,2.2,,Goalkeeper,0,0,0,0,0.00,0.00
Warren Burrell,ENG,Harrogate,34,1990,4.7,,Midfielder,0,1,1,100.0,0.21,0.21
Daniel Butterworth,ENG,Carlisle United,25,1999,0.5,Midfielder,Forward,0,2,1,50.0,4.09,2.05
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Daniel Butterworth,ENG,Swindon Town,25,1999,11.3,Forward,Midfielder,2,24,4,16.7,2.12,0.35
Jack Bycroft,ENG,Swindon Town,23,2001,12.0,,Goalkeeper,0,0,0,0,0.00,0.00
George Byers,SCO,Port Vale,28,1996,4.4,,Midfielder,1,9,2,22.2,2.06,0.46
Neill Byrne,IRL,Bradford City,31,1993,11.1,,Defender,2,6,3,50.0,0.54,0.27
Jake Cain,ENG,Swindon Town,23,2001,2.3,,Midfielder,0,2,1,50.0,0.88,0.44
Dean Campbell,SCO,Barrow,23,2001,16.9,,Midfielder,0,9,5,55.6,0.53,0.30
Niall Canavan,IRL,Barrow,33,1991,10.0,,Defender,0,0,0,0,0.00,0.00
Jacob Carney,ENG,Newport County,23,2001,1.0,,Goalkeeper,0,0,0,0,0.00,0.00
Tom Carroll,ENG,MK Dons,32,1992,3.6,,Midfielder,0,2,1,50.0,0.55,0.27
Matthew Carson,ENG,Grimsby Town,22,2002,1.0,,Defender,0,0,0,0,0.00,0.00
Lewis Cass,ENG,Grimsby Town,24,2000,8.0,,Defender,1,4,1,25.0,0.50,0.12
Ashley Charles,GRN,Bromley,25,1999,7.1,,Midfielder,0,4,2,50.0,0.57,0.28
Taylor Charters,ENG,Carlisle United,23,2001,2.1,Forward,Midfielder,0,3,0,0.0,1.41,0.00
Michael Cheek,ENG,Bromley,36,1988,14.0,,Forward,9,36,17,47.2,2.58,1.22
Daniel Chesters,ENG,Salford City,22,2002,5.0,Defender,Midfielder,0,3,1,33.3,0.60,0.20
Adam Chicksen,ZIM,Notts County,33,1991,1.4,,Midfielder,0,0,0,0,0.00,0.00
Ethan Chislett,ENG,Port Vale,24,2000,9.0,Forward,Midfielder,4,22,8,36.4,2.46,0.89
Madou Cisse,,Notts County,0,0,0.1,,Midfielder,0,0,0,0,0.00,0.00
Max Clark,ENG,Gillingham,28,1996,14.7,,Defender,0,6,0,0.0,0.41,0.00
James Clarke,ENG,Newport County,35,1989,5.0,,Defender,0,2,0,0.0,0.40,0.00
Jayden Clarke,ENG,Gillingham,23,2001,11.1,,Midfielder,5,15,8,53.3,1.35,0.72
Ollie Clarke,ENG,Swindon Town,32,1992,6.6,,Midfielder,0,14,5,35.7,2.11,0.75
Reyes Cleary,ENG,Walsall,20,2004,1.0,,Defender,0,3,1,33.3,3.07,1.02
Harry Clifton,WAL,Doncaster,26,1998,9.9,,Midfielder,2,23,7,30.4,2.32,0.70
Ben Close,ENG,Doncaster,28,1996,2.6,,Midfielder,0,0,0,0,0.00,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Ryan Colclough,ENG,Chesterfield,29,1994,4.8,,Midfielder,0,13,4,30.8,2.73,0.84
Ethan Coleman,ENG,Gillingham,24,2000,8.1,,Midfielder,0,7,3,42.9,0.87,0.37
Joel Colwill,WAL,Cheltenham,20,2004,12.0,,Midfielder,3,29,7,24.1,2.41,0.58
Brandon Comley,MSR,Walsall,29,1995,1.1,,Midfielder,0,0,0,0,0.00,0.00
Cameron Congreve,WAL,Bromley,20,2004,7.2,Forward,Midfielder,0,14,2,14.3,1.96,0.28
Séamus Conneely,IRL,Acc'ton Stanley,36,1988,8.0,,Midfielder,0,7,1,14.3,0.88,0.13
James Connolly,ENG,Crewe Alexandra,23,2001,8.0,,Defender,0,4,1,25.0,0.50,0.13
Max Conway,ENG,Crewe Alexandra,21,2003,13.2,Defender,Midfielder,1,12,3,25.0,0.91,0.23
Andy Cook,ENG,Bradford City,34,1990,15.5,,Forward,9,55,25,45.5,3.55,1.62
Connor Cook,,Chesterfield,0,0,0.0,,Midfielder,0,0,0,0,0.00,0.00
Ryan Cooney,ENG,Crewe Alexandra,24,2000,13.2,Defender,Midfielder,3,12,6,50.0,0.91,0.45
Dean Cornelius,SCO,Harrogate,23,2001,13.4,,Midfielder,1,8,3,37.5,0.60,0.22
Dara Costelloe,IRL,Acc'ton Stanley,21,2002,10.8,Midfielder,Forward,5,26,12,46.2,2.41,1.11
Joel Cotterill,WAL,Swindon Town,20,2004,11.3,,Midfielder,1,11,3,27.3,0.97,0.27
Ronan Coughlan,IRL,Fleetwood Town,29,1995,9.1,,Forward,6,34,18,52.9,3.74,1.98
Brandon Cover,JAM,Port Vale,21,2003,12.2,Defender,Midfielder,2,7,2,28.6,0.57,0.16
George Cox,ENG,Swindon Town,26,1998,9.0,,Midfielder,1,16,3,18.8,1.78,0.33
Liam Coyle,ENG,Acc'ton Stanley,24,1999,6.5,,Midfielder,0,3,1,33.3,0.46,0.15
William Crellin,ENG,Acc'ton Stanley,24,2000,9.0,,Goalkeeper,0,0,0,0,0.00,0.00
Ryan Croasdale,ENG,Port Vale,30,1994,13.2,,Midfielder,2,11,3,27.3,0.84,0.23
Daniel Crowley,ENG,Notts County,27,1997,11.8,,Midfielder,3,27,9,33.3,2.29,0.76
Robbie Cundy,ENG,Notts County,27,1997,1.5,Defender,Midfielder,0,2,1,50.0,1.33,0.67
Ronan Curtis,IRL,Port Vale,28,1996,8.8,Forward,Midfielder,1,14,7,50.0,1.60,0.80
Bradley Dack,ENG,Gillingham,30,1993,0.2,Midfielder,Forward,0,0,0,0,0.00,0.00
Marcus Dackers,WAL,Salford City,21,2003,0.7,,Midfielder,0,1,0,0.0,1.53,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Marcus Dackers,WAL,Morecambe,21,2003,10.7,,Forward,0,19,6,31.6,1.78,0.56
Vontae Daley Campbell,ENG,Chesterfield,23,2001,4.9,,Defender,0,2,0,0.0,0.41,0.00
Andrew Dallas,SCO,Barrow,25,1999,3.6,,Forward,2,5,3,60.0,1.39,0.83
James Daly,ENG,Harrogate,24,2000,14.4,Forward,Midfielder,2,17,6,35.3,1.18,0.42
Matty Daly,ENG,Harrogate,23,2001,7.8,,Midfielder,1,12,6,50.0,1.54,0.77
Donervon Daniels,MSR,Walsall,31,1993,3.0,,Defender,0,1,0,0.0,0.33,0.00
Archie Davies,ENG,Carlisle United,26,1998,10.2,Midfielder,Defender,1,4,2,50.0,0.39,0.20
Jordan Davies,WAL,Grimsby Town,26,1998,1.7,,Midfielder,2,5,3,60.0,2.90,1.74
Tom Davies,ENG,Tranmere Rovers,32,1992,15.0,,Defender,0,18,3,16.7,1.20,0.20
Josh Davison,ENG,Tranmere Rovers,25,1999,5.1,,Forward,0,8,1,12.5,1.56,0.20
Joe Day,ENG,Cheltenham,34,1990,6.0,,Goalkeeper,0,0,0,0,0.00,0.00
Ja­son Daði Svanþórs­son,ISL,Grimsby Town,24,1999,9.1,,Midfielder,1,9,2,22.2,0.99,0.22
Jesse Debrah,ENG,Port Vale,24,2000,12.0,,Defender,1,2,1,50.0,0.17,0.08
Ryan Delaney,IRL,Swindon Town,28,1996,3.6,,Defender,1,1,1,100.0,0.28,0.28
Mickey Demetriou,ENG,Crewe Alexandra,34,1990,15.0,,Defender,1,12,2,16.7,0.80,0.13
Kristian Dennis,ENG,Tranmere Rovers,34,1990,3.9,,Forward,1,11,4,36.4,2.84,1.03
Louis Dennis,ENG,Bromley,32,1992,3.2,,Forward,1,7,2,28.6,2.22,0.63
Matthew Dennis,ENG,MK Dons,22,2002,0.4,,Forward,0,3,1,33.3,7.94,2.65
Cheick Diabate,ENG,Bradford City,22,2002,9.9,,Defender,0,8,2,25.0,0.81,0.20
Timothée Dieng,FRA,Gillingham,32,1992,5.7,,Midfielder,3,12,4,33.3,2.09,0.70
Marcus Dinanga,ENG,Bromley,27,1997,3.0,,Forward,0,6,1,16.7,2.01,0.34
Baylee Dipepa,ENG,Port Vale,17,2007,0.7,,Forward,0,0,0,0,0.00,0.00
Armando Dobra,ALB,Chesterfield,23,2001,13.2,,Midfielder,3,37,10,27.0,2.80,0.76
Lennon Dobson,,Morecambe,0,0,0.0,,Midfielder,0,0,0,0,0.00,0.00
Aaron Donnelly,NIR,Colchester Utd,21,2003,6.3,,Defender,0,1,0,0.0,0.16,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Stephen Dooley,NIR,Harrogate,33,1991,13.2,,Midfielder,1,10,4,40.0,0.76,0.30
Aaron Drinan,IRL,Swindon Town,26,1998,7.9,,Forward,1,9,4,44.4,1.14,0.51
Anthony Driscoll-Glennon,ENG,Newport County,25,1999,12.9,Midfielder,Defender,0,5,1,20.0,0.39,0.08
Kane Drummond,ENG,Chesterfield,23,2000,1.6,,Forward,0,2,0,0.0,1.26,0.00
Stephen Duke-McKenna,GUY,Harrogate,24,2000,6.2,Forward,Midfielder,0,8,2,25.0,1.29,0.32
Liam Dulson,,Cheltenham,0,0,4.5,,Forward,1,3,1,33.3,0.66,0.22
Chey Dunkley,ENG,Chesterfield,32,1992,9.0,,Defender,1,6,2,33.3,0.67,0.22
Jack Earing,ENG,Walsall,25,1999,6.1,,Midfielder,2,13,5,38.5,2.13,0.82
Jake Eastwood,ENG,Grimsby Town,28,1996,2.2,,Goalkeeper,0,0,0,0,0.00,0.00
Neo Eccleston,ENG,Barrow,21,2003,8.1,Midfielder,Defender,1,4,1,25.0,0.49,0.12
Curtis Edwards,ENG,Notts County,30,1994,2.9,,Midfielder,0,2,0,0.0,0.70,0.00
Gwion Edwards,WAL,Morecambe,31,1993,5.9,,Midfielder,0,13,3,23.1,2.19,0.51
Owura Edwards,ENG,Colchester Utd,23,2001,5.0,,Midfielder,2,10,3,30.0,2.00,0.60
Tom Edwards,ENG,Salford City,25,1999,4.1,,Defender,0,1,0,0.0,0.25,0.00
Mandela Egbo,ENG,Colchester Utd,27,1997,10.6,Midfielder,Defender,0,8,4,50.0,0.76,0.38
Max Ehmer,ENG,Gillingham,32,1992,14.7,,Defender,0,7,2,28.6,0.48,0.14
Jack Ellis,ENG,Carlisle United,21,2003,1.1,,Defender,0,0,0,0,0.00,0.00
Josh Emmanuel,ENG,Doncaster,27,1997,0.4,,Defender,0,0,0,0,0.00,0.00
Cameron Evans,WAL,Newport County,23,2001,11.9,,Defender,1,7,1,14.3,0.59,0.08
Corry Evans,NIR,Bradford City,34,1990,0.6,Midfielder,Defender,0,1,0,0.0,1.80,0.00
Kieron Evans,WAL,Newport County,22,2001,9.3,Forward,Midfielder,0,13,4,30.8,1.39,0.43
Owen Evans,WAL,Cheltenham,27,1996,11.0,,Goalkeeper,0,0,0,0,0.00,0.00
Josh Falkingham,ENG,Harrogate,34,1990,2.4,,Midfielder,0,1,0,0.0,0.42,0.00
Paul Farman,ENG,Barrow,35,1989,7.5,,Goalkeeper,0,0,0,0,0.00,0.00
Priestley Farquharson,ENG,Walsall,27,1997,2.5,,Defender,0,1,0,0.0,0.40,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Rory Feely,IRL,Barrow,27,1997,9.3,,Defender,1,4,2,50.0,0.43,0.21
Sonny Finch,ENG,MK Dons,19,2005,1.6,,Forward,1,5,4,80.0,3.17,2.54
Sam Finley,ENG,Tranmere Rovers,32,1992,5.4,,Midfielder,0,1,0,0.0,0.19,0.00
Charlie Finney,ENG,Crewe Alexandra,21,2003,0.1,,Midfielder,0,0,0,0,0.00,0.00
Tom Flanagan,NIR,Colchester Utd,32,1992,13.0,,Defender,0,10,1,10.0,0.77,0.08
Brandon Fleming,ENG,Doncaster,24,1999,9.1,,Defender,0,4,1,25.0,0.44,0.11
Samuel Folarin,NGA,Harrogate,24,2000,6.4,,Forward,2,10,7,70.0,1.55,1.09
