player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting
Harrison Holgate,ENG,Fleetwood Town,24,2000,5.0,,Defender,0,0,0,0,0.00,0.00
Matúš Holíček,SVK,Crewe Alexandra,19,2005,8.8,Forward,Midfielder,0,5,1,20.0,0.57,0.11
Hallam Hope,BRB,Morecambe,30,1994,6.3,,Forward,2,6,2,33.3,0.95,0.32
Tom Hopper,ENG,Colchester Utd,30,1993,7.4,Midfielder,Forward,0,7,2,28.6,0.95,0.27
Sam Hornby,ENG,Walsall,29,1995,1.0,,Goalkeeper,0,0,0,0,0.00,0.00
Kyle Hudlin,ENG,Newport County,24,2000,8.5,,Forward,4,16,11,68.8,1.87,1.29
Kayden Hughes,,Fleetwood Town,0,0,6.7,,Defender,2,2,2,100.0,0.30,0.30
Liam Humbles,ENG,Salford City,20,2003,1.0,,Midfielder,0,0,0,0,0.00,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Denver Hume,ENG,Grimsby Town,28,1996,14.7,,Defender,0,7,0,0.0,0.48,0.00
Mackenzie Hunt,UAE,Fleetwood Town,23,2001,11.0,,Midfielder,0,15,2,13.3,1.36,0.18
Rob Hunt,ENG,Colchester Utd,29,1995,9.0,,Defender,0,0,0,0,0.00,0.00
Ashley Hunter,ENG,Acc'ton Stanley,29,1995,0.7,Midfielder,Forward,0,0,0,0,0.00,0.00
Paul Huntington,ENG,Bradford City,37,1987,0.1,,Defender,0,0,0,0,0.00,0.00
Kyle Hurst,ENG,Doncaster,22,2002,6.3,,Midfielder,1,21,6,28.6,3.36,0.96
Remeao Hutton,ENG,Gillingham,26,1998,14.9,,Defender,0,4,1,25.0,0.27,0.07
Ellis Iandolo,ENG,Colchester Utd,27,1997,15.9,,Defender,0,8,3,37.5,0.50,0.19
Bradley Ihionvien,ENG,Colchester Utd,20,2003,0.9,,Midfielder,0,1,0,0.0,1.15,0.00
Brooklyn Ilunga,ENG,MK Dons,21,2003,0.5,,Forward,0,0,0,0,0.00,0.00
Danny Imray,ENG,Bromley,21,2003,13.6,,Midfielder,1,16,8,50.0,1.17,0.59
Joe Ironside,ENG,Doncaster,31,1993,9.1,,Forward,2,13,3,23.1,1.42,0.33
Ben Jackson,ENG,Barrow,23,2001,17.0,,Defender,0,20,5,25.0,1.18,0.29
Michael Jacobs,ENG,Chesterfield,33,1991,3.1,,Midfielder,0,5,1,20.0,1.63,0.33
Kyle Jameson,ENG,Newport County,26,1998,11.7,,Defender,0,1,0,0.0,0.09,0.00
Alassana Jatta,GAM,Notts County,25,1999,10.9,,Forward,7,33,14,42.4,3.02,1.28
Jamie Jellis,ENG,Walsall,23,2001,13.4,,Midfielder,3,27,7,25.9,2.01,0.52
Carl Jenkinson,ENG,Bromley,32,1992,0.6,,Defender,0,0,0,0,0.00,0.00
Connor Jennings,ENG,Tranmere Rovers,33,1991,13.2,Forward,Midfielder,2,21,7,33.3,1.59,0.53
Luke Jephcott,WAL,Newport County,24,2000,1.5,,Forward,0,1,0,0.0,0.66,0.00
Liam Jessop,GIB,Chesterfield,19,2005,0.2,,Forward,0,0,0,0,0.00,0.00
Danny Johnson,ENG,Walsall,31,1993,0.9,,Forward,2,10,4,40.0,10.84,4.34
Ryan Johnson,NIR,AFC Wimbledon,28,1996,9.9,,Defender,0,9,2,22.2,0.91,0.20
Carl Johnston,NIR,Fleetwood Town,22,2002,13.7,,Midfielder,1,7,5,71.4,0.51,0.36
Callum Jones,WAL,Morecambe,23,2001,15.9,,Midfielder,1,24,11,45.8,1.51,0.69
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Jamie Jones,ENG,Salford City,35,1989,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
Jodi Jones,MLT,Notts County,27,1997,6.0,,Midfielder,4,18,7,38.9,3.01,1.17
Jordan Jones,NIR,Carlisle United,30,1994,5.4,Forward,Midfielder,0,10,3,30.0,1.84,0.55
Mike Jones,ENG,Chesterfield,37,1987,0.2,,Midfielder,0,1,0,0.0,5.00,0.00
Arkell Jude-Boyd,LCA,Cheltenham,21,2003,4.4,,Midfielder,1,4,2,50.0,0.91,0.46
Bobby Kamwa,CMR,Newport County,24,2000,13.2,Forward,Midfielder,0,23,6,26.1,1.75,0.46
Hamzad Kargbo,ENG,Newport County,22,2002,0.1,,Forward,0,1,0,0.0,15.00,0.00
Calum Kavanagh,IRL,Bradford City,21,2003,8.5,Midfielder,Forward,0,23,5,21.7,2.71,0.59
Fiacre Kelleher,IRL,Colchester Utd,28,1996,2.3,,Defender,0,1,0,0.0,0.43,0.00
Ciaran Kelly,IRL,Bradford City,26,1998,5.5,,Defender,0,0,0,0,0.00,0.00
Georgie Kelly,IRL,Carlisle United,28,1996,0.4,,Forward,0,2,0,0.0,5.00,0.00
Josh Kelly,ENG,AFC Wimbledon,25,1998,2.6,Forward,Defender,0,4,3,75.0,1.55,1.16
Liam Kelly,IRL,MK Dons,29,1995,11.2,Forward,Midfielder,1,9,1,11.1,0.80,0.09
Michael Kelly,IRL,Acc'ton Stanley,28,1996,7.0,,Goalkeeper,0,0,0,0,0.00,0.00
Patrick Kelly,NIR,Doncaster,20,2004,7.7,,Midfielder,0,12,6,50.0,1.56,0.78
Saidou Khan,GAM,Tranmere Rovers,28,1995,3.3,,Midfielder,0,3,2,66.7,0.90,0.60
Evan Khouri,ENG,Grimsby Town,21,2003,16.7,Defender,Midfielder,0,11,4,36.4,0.66,0.24
Nelson Khumbeni,ENG,Acc'ton Stanley,22,2002,9.0,,Midfielder,1,11,3,27.3,1.22,0.33
Gavin Kilkenny,IRL,Swindon Town,24,2000,12.8,,Midfielder,1,12,1,8.3,0.94,0.08
Jeff King,ENG,Swindon Town,28,1995,6.9,Defender,Midfielder,0,6,2,33.3,0.87,0.29
Liam Kinsella,IRL,Cheltenham,28,1996,9.7,Defender,Midfielder,0,1,0,0.0,0.10,0.00
Charlie Kirk,ENG,Barrow,26,1997,2.2,,Midfielder,0,4,0,0.0,1.86,0.00
Jamie Knight-Lebel,CAN,Crewe Alexandra,19,2004,11.6,,Defender,0,3,1,33.3,0.26,0.09
Jimmy Knowles,ENG,Acc'ton Stanley,23,2001,6.9,Forward,Midfielder,2,11,4,36.4,1.58,0.58
Kylian Kouassi,ENG,Salford City,21,2003,10.8,,Forward,2,21,7,33.3,1.95,0.65
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Katia Kouyate,ENG,Barrow,21,2003,8.1,,Midfielder,0,4,3,75.0,0.49,0.37
Levi Laing,ENG,Cheltenham,21,2003,3.2,,Defender,0,1,0,0.0,0.31,0.00
Charlie Lakin,ENG,Walsall,25,1999,11.3,,Midfielder,1,19,4,21.1,1.68,0.35
Jack Lankester,ENG,Crewe Alexandra,24,2000,6.4,Forward,Midfielder,2,19,6,31.6,2.96,0.94
George Lapslie,ENG,Gillingham,27,1997,7.5,,Midfielder,1,9,3,33.3,1.19,0.40
Sam Lavelle,SCO,Carlisle United,28,1996,13.6,,Defender,2,12,3,25.0,0.88,0.22
Nico Lawrence,ENG,MK Dons,21,2003,3.0,,Defender,0,0,0,0,0.00,0.00
Lewis Leigh,ENG,Bromley,20,2003,4.5,,Midfielder,1,10,5,50.0,2.21,1.10
Tommy Leigh,ENG,MK Dons,24,2000,6.0,Midfielder,Forward,1,13,5,38.5,2.17,0.84
Connor Lemonheigh-Evans,WAL,MK Dons,27,1997,12.2,,Midfielder,2,21,7,33.3,1.73,0.58
Dean Lewington,ENG,MK Dons,40,1984,1.6,,Defender,0,0,0,0,0.00,0.00
Adam Lewis,ENG,Morecambe,25,1999,12.3,,Midfielder,0,16,4,25.0,1.31,0.33
Harry Lewis,ENG,Carlisle United,26,1997,14.0,,Goalkeeper,0,0,0,0,0.00,0.00
Joe Lewis,WAL,AFC Wimbledon,25,1999,12.4,,Defender,0,6,0,0.0,0.48,0.00
Paul Lewis,ENG,Morecambe,29,1994,5.6,,Midfielder,0,7,2,28.6,1.26,0.36
Armani Little,ENG,Gillingham,27,1997,11.3,,Midfielder,2,8,2,25.0,0.71,0.18
Tom Lonergan,IRL,Fleetwood Town,20,2004,1.8,,Forward,0,6,2,33.3,3.31,1.10
Chris Long,ENG,Crewe Alexandra,29,1995,0.6,Midfielder,Forward,1,2,1,50.0,3.46,1.73
Rosaire Longelo-Mbule,ENG,Swindon Town,25,1999,4.9,Midfielder,Defender,0,1,0,0.0,0.21,0.00
Donald Love,SCO,Acc'ton Stanley,29,1994,13.6,Defender,Midfielder,1,12,5,41.7,0.88,0.37
Jason Lowe,ENG,Port Vale,33,1991,0.6,Midfielder,Defender,0,2,0,0.0,3.60,0.00
Nathan Lowe,ENG,Walsall,19,2005,12.4,,Forward,8,32,18,56.3,2.57,1.45
Junior Luamba,ENG,Salford City,21,2003,2.9,,Midfielder,1,3,1,33.3,1.02,0.34
Jayden Luker,ENG,Grimsby Town,19,2005,1.9,,Midfielder,0,2,0,0.0,1.07,0.00
Matty Lund,NIR,Salford City,34,1990,2.1,,Midfielder,0,4,1,25.0,1.87,0.47
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Owen Lunt,ENG,Crewe Alexandra,20,2004,1.7,,Midfielder,0,2,2,100.0,1.18,1.18
Harvey Macadam,ENG,Morecambe,23,2001,8.3,,Midfielder,1,7,2,28.6,0.84,0.24
Lewis Macari,ENG,Notts County,22,2002,16.3,,Defender,0,10,2,20.0,0.61,0.12
Matt Macey,ENG,Colchester Utd,30,1994,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
Paddy Madden,IRL,Chesterfield,34,1990,4.8,,Forward,2,6,2,33.3,1.25,0.42
Laurence Maguire,ENG,MK Dons,27,1997,13.7,,Defender,1,4,2,50.0,0.29,0.15
Ronan Maher,IRL,Walsall,19,2004,0.4,,Midfielder,0,1,0,0.0,2.50,0.00
Connor Mahoney,ENG,Barrow,27,1997,5.4,,Midfielder,0,3,3,100.0,0.56,0.56
Kyrell Malcolm,,Salford City,0,0,0.5,,Midfielder,0,1,0,0.0,2.00,0.00
Liam Mandeville,ENG,Chesterfield,27,1997,8.6,Defender,Midfielder,0,5,4,80.0,0.58,0.46
Josh March,SCO,Harrogate,27,1997,4.1,Midfielder,Forward,2,10,4,40.0,2.46,0.98
Dilan Markanday,ENG,Chesterfield,23,2001,13.1,,Midfielder,5,29,12,41.4,2.21,0.91
Filip Marshall,ENG,Crewe Alexandra,21,2003,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
Dan Martin,ENG,Acc'ton Stanley,22,2002,0.0,,Midfielder,0,0,0,0,0.00,0.00
Josh Martin,ENG,Notts County,23,2001,1.7,,Midfielder,0,7,1,14.3,4.12,0.59
Conor Masterson,IRL,Gillingham,26,1998,5.7,,Defender,0,3,0,0.0,0.53,0.00
Jamille Matt,ENG,Walsall,35,1989,12.7,,Forward,5,30,10,33.3,2.36,0.79
Noah Mawene,ENG,Newport County,19,2005,4.0,,Midfielder,0,3,1,33.3,0.75,0.25
James Maxwell,SCO,Doncaster,22,2001,3.7,Defender,Midfielder,0,4,1,25.0,1.08,0.27
Callum Maycock,ENG,AFC Wimbledon,26,1997,8.8,,Midfielder,2,8,3,37.5,0.91,0.34
Danny Mayor,ENG,Fleetwood Town,34,1990,13.0,,Midfielder,2,13,6,46.2,1.00,0.46
Conor McAleny,ENG,Salford City,32,1992,5.4,Forward,Midfielder,0,19,9,47.4,3.50,1.66
Rod McDonald,ENG,Notts County,32,1992,0.7,,Defender,0,0,0,0,0.00,0.00
Jamie McDonnell,NIR,Colchester Utd,20,2004,5.6,,Midfielder,1,2,1,50.0,0.36,0.18
George McEachran,ENG,Grimsby Town,24,2000,13.4,,Midfielder,0,8,0,0.0,0.60,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Oisin McEntee,IRL,Walsall,23,2001,3.3,,Defender,0,1,0,0.0,0.31,0.00
Luke McGee,ENG,Tranmere Rovers,29,1995,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
Dylan McGeouch,SCO,Carlisle United,31,1993,1.7,,Midfielder,0,0,0,0,0.00,0.00
Thomas Mcgill,ENG,MK Dons,24,2000,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
David McGoldrick,IRL,Notts County,36,1987,9.8,Midfielder,Forward,6,42,18,42.9,4.30,1.84
Jay McGrath,ENG,Doncaster,21,2003,14.0,,Defender,0,15,5,33.3,1.07,0.36
Joel McGregor,,Swindon Town,0,0,6.3,,Midfielder,1,6,1,16.7,0.96,0.16
Sean McGurk,ENG,Swindon Town,21,2003,1.6,,Midfielder,0,3,0,0.0,1.90,0.00
Cameron McJannett,ENG,Grimsby Town,26,1998,17.0,,Defender,0,7,1,14.3,0.41,0.06
Robbie McKenzie,ENG,Gillingham,26,1998,7.4,Defender,Midfielder,2,8,2,25.0,1.09,0.27
Shane McLoughlin,IRL,Newport County,27,1997,6.1,,Defender,0,4,0,0.0,0.66,0.00
Zech Medley,ENG,Fleetwood Town,24,2000,2.2,,Defender,0,0,0,0,0.00,0.00
Jon Mellish,ENG,Carlisle United,27,1997,15.2,Midfielder,Defender,2,12,6,50.0,0.79,0.40
Christopher Merrie,ENG,Tranmere Rovers,26,1998,5.4,,Midfielder,0,1,0,0.0,0.18,0.00
Jenson Metcalfe,ENG,Chesterfield,20,2004,6.1,,Midfielder,0,4,1,25.0,0.66,0.16
Jamie Miley,ENG,Newport County,20,2004,2.8,,Midfielder,0,1,0,0.0,0.36,0.00
Ross Millen,SCO,Morecambe,30,1994,2.7,,Midfielder,0,1,0,0.0,0.37,0.00
George Miller,ENG,Cheltenham,26,1998,6.9,,Forward,3,9,4,44.4,1.30,0.58
Harrison Minturn,ENG,Swindon Town,20,2003,3.1,,Defender,0,2,1,50.0,0.64,0.32
Dylan Mitchell,ENG,Swindon Town,19,2005,0.1,,Midfielder,0,0,0,0,0.00,0.00
Haji Mnoga,TAN,Salford City,22,2002,8.1,Midfielder,Defender,0,6,3,50.0,0.74,0.37
Luke Molyneux,ENG,Doncaster,26,1998,15.2,,Midfielder,6,42,16,38.1,2.76,1.05
Jasper Moon,ENG,Harrogate,24,2000,13.0,,Defender,0,4,0,0.0,0.31,0.00
Kelsey Mooney,ENG,Acc'ton Stanley,25,1999,7.7,,Forward,2,12,4,33.3,1.55,0.52
Stuart Moore,ENG,Morecambe,30,1994,14.8,,Goalkeeper,0,0,0,0,0.00,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Bryn Morris,ENG,Newport County,28,1996,13.4,,Midfielder,0,17,3,17.6,1.27,0.22
Glenn Morris,ENG,Gillingham,40,1983,7.8,,Goalkeeper,0,0,0,0,0.00,0.00
Kieron Morris,ENG,Tranmere Rovers,30,1994,6.4,,Midfielder,1,14,4,28.6,2.18,0.62
Jack Muldoon,ENG,Harrogate,35,1989,12.1,,Forward,0,16,6,37.5,1.32,0.50
Kelly N'Mai,NED,Salford City,20,2004,11.4,,Midfielder,3,17,4,23.5,1.49,0.35
Tom Naylor,ENG,Chesterfield,33,1991,16.0,Midfielder,Defender,1,11,2,18.2,0.69,0.12
Harrison Neal,ENG,Carlisle United,23,2001,10.8,,Midfielder,1,14,3,21.4,1.30,0.28
Stephan Negru,IRL,Salford City,22,2002,13.0,,Defender,0,5,2,40.0,0.39,0.15
Aaron Nemane,ENG,MK Dons,27,1997,14.2,,Midfielder,0,9,3,33.3,0.63,0.21
Lucas Ness,ENG,Notts County,22,2002,1.5,,Defender,0,5,0,0.0,3.33,0.00
Josh Neufville,ENG,AFC Wimbledon,24,2000,15.7,,Midfielder,2,17,6,35.3,1.09,0.38
Elliott Nevitt,ENG,Gillingham,28,1996,6.7,,Forward,1,17,3,17.6,2.52,0.45
Elliot Newby,ENG,Barrow,29,1995,13.7,,Midfielder,2,19,11,57.9,1.39,0.80
Tom Nixon,ENG,Doncaster,22,2002,0.3,,Defender,0,0,0,0,0.00,0.00
Jack Nolan,ENG,Gillingham,23,2001,10.1,,Midfielder,1,20,4,20.0,1.99,0.40
Manni Norkett,ENG,Cheltenham,20,2004,1.6,Forward,Midfielder,1,3,2,66.7,1.89,1.26
Cameron Norman,ENG,Tranmere Rovers,29,1995,13.1,Midfielder,Defender,0,8,1,12.5,0.61,0.08
Luke Norris,ENG,Tranmere Rovers,31,1993,7.4,,Forward,0,26,7,26.9,3.53,0.95
Eno Nto,ENG,Harrogate,22,2002,0.1,,Forward,0,0,0,0,0.00,0.00
Freddie O''Donoghue,,Carlisle United,0,0,0.1,,Forward,0,0,0,0,0.00,0.00
Connor O'Brien,ENG,Acc'ton Stanley,19,2005,11.5,Midfielder,Defender,0,4,2,50.0,0.35,0.17
Anthony O'Connor,IRL,Harrogate,32,1992,17.0,,Defender,1,8,3,37.5,0.47,0.18
Lee O'Connor,IRL,Tranmere Rovers,24,2000,13.2,Defender,Midfielder,0,7,1,14.3,0.53,0.08
Justin Obikwu,TRI,Grimsby Town,20,2004,2.0,,Forward,1,10,3,30.0,4.89,1.47
Mipo Odubeko,IRL,Fleetwood Town,22,2002,1.1,,Forward,0,3,1,33.3,2.73,0.91
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Clarke Oduor,KEN,Bradford City,25,1999,7.8,,Midfielder,0,11,2,18.2,1.42,0.26
Idris Odutayo,ENG,Bromley,22,2002,15.8,Defender,Midfielder,0,5,1,20.0,0.32,0.06
Luke Offord,ENG,MK Dons,25,1999,15.4,Midfielder,Defender,0,0,0,0,0.00,0.00
Nnamdi Ofoborh,NGA,Swindon Town,25,1999,6.0,,Midfielder,0,3,1,33.3,0.50,0.17
Shadrach Ogie,IRL,Gillingham,23,2001,13.2,,Defender,0,6,3,50.0,0.46,0.23
Isaac Ogundere,ENG,AFC Wimbledon,22,2002,9.1,,Defender,0,2,1,50.0,0.22,0.11
Funso Ojo,BEL,Port Vale,33,1991,0.0,,Midfielder,0,0,0,0,0.00,0.00
David Okagbue,IRL,Walsall,20,2004,13.7,,Defender,1,9,1,11.1,0.66,0.07
Francis Okoronkwo,ENG,Salford City,20,2004,6.2,Midfielder,Forward,2,10,4,40.0,1.62,0.65
Darren Oldaker,ENG,Chesterfield,25,1999,15.0,,Midfielder,2,12,3,25.0,0.80,0.20
Vadaine Oliver,ENG,Bradford City,33,1991,1.7,,Forward,0,3,0,0.0,1.72,0.00
Olufela Olomola,ENG,Bromley,27,1997,4.9,,Forward,1,11,2,18.2,2.23,0.41
Tosin Olopade,NGA,Salford City,19,2004,1.0,,Defender,0,1,0,0.0,1.00,0.00
Joseph Olowu,ENG,Doncaster,25,1999,9.9,,Defender,1,7,4,57.1,0.71,0.41
Milton Oni,ENG,Colchester Utd,18,2006,0.1,,Midfielder,0,0,0,0,0.00,0.00
Mark Oxley,ENG,Harrogate,34,1990,0.6,,Goalkeeper,0,0,0,0,0.00,0.00
Matt Palmer,ENG,Notts County,29,1995,12.6,,Midfielder,0,10,2,20.0,0.80,0.16
Josh Passley,ENG,Bromley,30,1994,0.3,,Midfielder,0,1,1,100.0,3.75,3.75
Ruari Paton,SCO,Port Vale,24,2000,5.5,,Forward,1,10,4,40.0,1.81,0.73
Omari Patrick,ENG,Tranmere Rovers,28,1996,13.5,Forward,Midfielder,4,31,12,38.7,2.29,0.89
Phoenix Patterson,SCO,Fleetwood Town,24,2000,4.3,,Midfielder,0,7,4,57.1,1.64,0.94
Alexander Pattison,ENG,Bradford City,27,1997,5.2,,Midfielder,1,9,3,33.3,1.74,0.58
Jack Payne,ENG,Colchester Utd,30,1994,14.2,,Midfielder,2,30,9,30.0,2.12,0.64
Lewis Payne,ENG,Cheltenham,20,2004,9.2,Midfielder,Defender,0,5,1,20.0,0.54,0.11
Tom Pett,ENG,Cheltenham,32,1991,5.8,,Midfielder,0,7,3,42.9,1.21,0.52
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Aaron Pickles,ENG,Acc'ton Stanley,19,2005,0.3,,Defender,0,1,1,100.0,3.91,3.91
Joe Pigott,ENG,AFC Wimbledon,31,1993,6.2,,Forward,2,13,3,23.1,2.11,0.49
James Plant,ENG,Port Vale,20,2004,0.0,,Midfielder,0,0,0,0,0.00,0.00
Matthew Platt,ENG,Notts County,27,1997,17.0,,Defender,2,7,4,57.1,0.41,0.24
Bobby Pointon,ENG,Bradford City,20,2004,7.6,,Midfielder,2,13,5,38.5,1.72,0.66
Christopher Popov,WAL,Barrow,20,2004,3.2,,Midfielder,0,7,1,14.3,2.20,0.31
Finley Potter,ENG,Fleetwood Town,20,2004,4.0,,Defender,0,4,0,0.0,1.00,0.00
Jack Powell,ENG,Crewe Alexandra,30,1994,0.1,Midfielder,Defender,0,0,0,0,0.00,0.00
Joe Pritchard,ENG,MK Dons,28,1996,0.1,,Midfielder,0,1,0,0.0,12.86,0.00
Rekeil Pyke,ENG,Grimsby Town,27,1997,0.7,Midfielder,Forward,0,0,0,0,0.00,0.00
Joe Quigley,IRL,Chesterfield,27,1996,0.4,,Forward,0,1,0,0.0,2.37,0.00
Sebastian Quirk,ENG,Acc'ton Stanley,22,2001,4.8,Midfielder,Defender,0,3,0,0.0,0.63,0.00
Kiban Rai,WAL,Newport County,19,2005,1.2,,Midfielder,0,1,0,0.0,0.83,0.00
Farrend Rawson,ENG,Acc'ton Stanley,28,1996,15.0,,Defender,1,10,1,10.0,0.67,0.07
George Ray,WAL,Morecambe,31,1993,0.6,,Defender,0,0,0,0,0.00,0.00
Arthur Read,ENG,Colchester Utd,25,1999,8.4,,Midfielder,1,15,5,33.3,1.79,0.60
Jake Reeves,ENG,AFC Wimbledon,31,1993,5.6,,Midfielder,1,4,3,75.0,0.72,0.54
Callum Reynolds,ENG,Bromley,35,1989,10.0,,Defender,0,3,1,33.3,0.30,0.10
Lewis Richards,IRL,Bradford City,23,2001,6.8,Midfielder,Defender,0,5,0,0.0,0.74,0.00
Rico Richards,ENG,Port Vale,21,2003,4.4,Midfielder,Forward,2,10,4,40.0,2.27,0.91
Connor Ripley,ENG,Port Vale,31,1993,17.0,,Goalkeeper,0,0,0,0,0.00,0.00
Fin Roberts,,Crewe Alexandra,0,0,0.1,,Forward,0,0,0,0,0.00,0.00
Scott Robertson,SCO,Notts County,23,2001,3.5,,Midfielder,1,4,1,25.0,1.14,0.28
Jack Robinson,ENG,Carlisle United,23,2001,0.9,,Defender,0,0,0,0,0.00,0.00
Ethan Robson,ENG,Carlisle United,28,1996,1.3,,Midfielder,0,1,1,100.0,0.78,0.78
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Harvey Rodgers,ENG,Grimsby Town,28,1996,15.3,,Defender,2,11,5,45.5,0.72,0.33
Danny Rose,ENG,Grimsby Town,30,1993,13.2,,Forward,4,23,13,56.5,1.74,0.99
Aaron Rowe,ENG,Gillingham,24,2000,1.3,,Midfielder,0,3,2,66.7,2.27,1.51
Dominic Sadi,ENG,Carlisle United,21,2003,10.9,Forward,Midfielder,1,23,10,43.5,2.11,0.92
Nelson Sanca,POR,Newport County,18,2006,0.9,,Defender,0,1,0,0.0,1.06,0.00
Max Sanders,ENG,Crewe Alexandra,25,1999,12.2,,Midfielder,0,15,4,26.7,1.23,0.33
Oliver Sanderson,ENG,Bradford City,20,2003,5.2,,Forward,2,9,5,55.6,1.72,0.96
Thomas Sang,ENG,Port Vale,25,1999,11.6,Midfielder,Defender,0,7,0,0.0,0.60,0.00
Antoni Sarcevic,ENG,Bradford City,32,1992,2.9,,Midfielder,0,5,1,20.0,1.70,0.34
Brendan Sarpong-Wiredu,ENG,Fleetwood Town,25,1999,11.3,,Defender,1,6,2,33.3,0.53,0.18
Harvey Saunders,ENG,Tranmere Rovers,27,1997,7.1,Midfielder,Forward,1,17,6,35.3,2.41,0.85
Joe Sbarra,ENG,Doncaster,25,1998,3.3,,Midfielder,0,3,0,0.0,0.90,0.00
Cedwyn Scott,ENG,Notts County,25,1998,3.5,Forward,Midfielder,0,8,1,12.5,2.30,0.29
Anthony Scully,IRL,Colchester Utd,25,1999,2.0,,Midfielder,0,3,1,33.3,1.47,0.49
Jack Senior,ENG,Doncaster,27,1997,3.6,,Defender,0,1,0,0.0,0.28,0.00
Teddy Sharman,ENG,Doncaster,21,2003,17.0,,Goalkeeper,0,0,0,0,0.00,0.00
Billy Sharp,ENG,Doncaster,38,1986,10.7,,Forward,5,23,8,34.8,2.14,0.75
Liam Shaw,ENG,Fleetwood Town,23,2001,1.3,,Defender,0,1,0,0.0,0.74,0.00
Liam Shephard,WAL,Salford City,30,1994,1.8,,Defender,0,0,0,0,0.00,0.00
Jack Shepherd,ENG,Bradford City,23,2001,10.4,,Defender,2,3,2,66.7,0.29,0.19
Sam Sherring,ENG,MK Dons,24,2000,4.0,,Defender,0,1,0,0.0,0.25,0.00
Lewis Shipley,ENG,Cheltenham,20,2003,5.6,Midfielder,Defender,0,4,1,25.0,0.71,0.18
Jack Shorrock,ENG,Port Vale,17,2007,4.4,,Midfielder,1,4,2,50.0,0.91,0.45
Tommy Simkin,ENG,Walsall,19,2004,15.0,,Goalkeeper,0,0,0,0,0.00,0.00
Toby Sims,USA,Harrogate,27,1997,14.2,,Defender,2,7,3,42.9,0.49,0.21
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Jordan Slew,ENG,Morecambe,32,1992,5.4,,Midfielder,0,15,3,20.0,2.77,0.55
Richard Smallwood,ENG,Bradford City,33,1990,16.0,,Midfielder,1,4,2,50.0,0.25,0.12
Alistair Smith,SCO,AFC Wimbledon,30,1994,14.9,,Midfielder,1,18,6,33.3,1.21,0.40
Grant Smith,ENG,Bromley,31,1993,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
Harry Smith,ENG,Swindon Town,29,1995,9.7,,Forward,5,25,7,28.0,2.58,0.72
Jackson Smith,ENG,Grimsby Town,23,2001,6.0,,Goalkeeper,0,0,0,0,0.00,0.00
Nathan Smith,ENG,Port Vale,28,1996,0.0,,Defender,0,0,0,0,0.00,0.00
Tyler Smith,ENG,Bradford City,25,1998,1.5,,Forward,0,5,0,0.0,3.38,0.00
Tunmise Sobowale,IRL,Swindon Town,25,1999,12.0,Midfielder,Defender,0,2,0,0.0,0.17,0.00
Harrison Sohna,ENG,Cheltenham,22,2002,5.5,Forward,Midfielder,0,7,2,28.6,1.28,0.37
Sol Solomon,ENG,Tranmere Rovers,23,2001,0.1,,Forward,0,1,1,100.0,11.25,11.25
Yann Songo'o,CMR,Morecambe,33,1991,9.1,Defender,Midfielder,1,7,1,14.3,0.77,0.11
Omar Sowunmi,ENG,Bromley,29,1995,9.4,,Defender,1,15,5,33.3,1.59,0.53
Michael Spellman,ENG,Newport County,22,2002,3.1,,Forward,1,6,2,33.3,1.96,0.65
Kian Spence,ENG,Barrow,23,2001,12.8,,Midfielder,1,31,8,25.8,2.43,0.63
Wyll Stanway,ENG,Barrow,23,2001,9.0,,Goalkeeper,0,0,0,0,0.00,0.00
Jamie Sterry,ENG,Doncaster,29,1995,14.2,Midfielder,Defender,0,10,2,20.0,0.71,0.14
Mathew Stevens,ENG,AFC Wimbledon,26,1998,11.8,,Forward,8,33,17,51.5,2.79,1.44
