player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,90s_stats_shooting,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,90s_stats_misc,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Stephen Wearne,ENG,MK Dons,23,2000,4.0,Forward,Midfielder,4.0,0.0,9.0,3.0,33.3,2.23,0.74,8.2,12.0,734.0,4.0,3.0,1.0,1.0,3.0
Zain Westbrooke,ENG,Doncaster,27,1996,1.7,Not Available,Midfielder,1.7,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,1170.0,1.7,0.0,4.0,2.0,1.0
Charlie Weston,ENG,Barrow,20,2004,0.2,Not Available,Midfielder,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,900.0,0.2,0.0,0.0,0.0,0.0
Shaun Whalley,ENG,Acc'ton Stanley,37,1987,11.6,Not Available,Midfielder,11.6,3.0,29.0,9.0,31.0,2.49,0.77,5.6,8.0,500.0,11.6,4.0,93.0,8.0,20.0
Joe White,ENG,MK Dons,22,2002,3.6,Not Available,Midfielder,3.6,2.0,3.0,2.0,66.7,0.83,0.55,8.8,11.0,793.0,3.6,0.0,5.0,1.0,3.0
Tom White,ENG,Morecambe,27,1997,2.4,Not Available,Midfielder,2.4,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.0,403.0,2.4,0.0,1.0,0.0,5.0
Corey Whitley,ENG,Bromley,33,1991,11.3,Midfielder,Forward,11.3,1.0,17.0,3.0,17.6,1.51,0.27,12.0,13.0,1081.0,11.3,1.0,23.0,10.0,24.0
Aaron Wildig,WAL,Newport County,32,1992,10.5,Not Available,Midfielder,10.5,4.0,12.0,6.0,50.0,1.15,0.57,6.2,9.0,556.0,10.5,3.0,6.0,10.0,12.0
Freddie Willcox,,Cheltenham,0,0,0.5,Not Available,Midfielder,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.4,8.0,485.0,0.5,0.0,1.0,1.0,2.0
Joshua Williams,WAL,Tranmere Rovers,20,2004,0.0,Not Available,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,9.0,530.0,0.0,0.0,0.0,0.0,0.0
Nathan Wood,WAL,Newport County,27,1997,0.3,Not Available,Forward,0.3,0.0,1.0,0.0,0.0,3.33,0.0,7.2,9.0,652.0,0.3,0.0,1.0,0.0,0.0
David Worrall,ENG,Barrow,34,1990,0.3,Midfielder,Forward,0.3,0.0,0.0,0.0,0.0,0.0,0.0,5.2,7.0,466.0,0.3,0.0,2.0,0.0,0.0
Tyreik Wright,IRL,Bradford City,23,2001,10.0,Not Available,Midfielder,10.0,0.0,6.0,1.0,16.7,0.6,0.1,7.6,10.0,683.0,10.0,0.0,73.0,9.0,12.0
Charlie Wyke,ENG,Carlisle United,31,1992,9.4,Not Available,Forward,9.4,2.0,16.0,3.0,18.8,1.7,0.32,13.0,13.0,1167.0,9.4,2.0,0.0,1.0,5.0
Ephraim Yeboah,GHA,Doncaster,18,2006,2.7,Not Available,Midfielder,2.7,0.0,7.0,2.0,28.6,2.57,0.73,9.9,11.0,889.0,2.7,0.0,9.0,3.0,4.0
Luke Young,ENG,Cheltenham,31,1993,11.3,Not Available,Midfielder,11.3,2.0,15.0,7.0,46.7,1.33,0.62,12.0,12.0,1080.0,11.3,0.0,36.0,9.0,6.0
