player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Tom Barkhuizen,ENG,Derby County,31,1993,1.3,Forward,1002.0,64.9,0,1,0,50.0,2,0,17,25,2,3,6,0,75.0,1,3,0,8,11.133333333333333,5.82934131736527,0.0,0.08982035928143713,0.0,4.491017964071856,0.17964071856287425,0.0,1.5269461077844313,2.245508982035928,0.17964071856287425,0.2694610778443114,0.5389221556886228,0.0,6.736526946107785,0.08982035928143713,0.2694610778443114,0.0,0.718562874251497
Amari'i Bell,JAM,Luton Town,30,1994,6.4,Defender,1304.0,75.1,0,5,0,0.0,5,0,173,33,4,8,3,3,61.1,2,9,9,35,14.488888888888889,5.183282208588957,0.0,0.3450920245398773,0.0,0.0,0.3450920245398773,0.0,11.940184049079754,2.2776073619631902,0.27607361963190186,0.5521472392638037,0.20705521472392638,0.20705521472392638,4.2170245398773005,0.13803680981595093,0.6211656441717791,0.6211656441717791,2.415644171779141
Sam Bell,ENG,Bristol City,22,2002,0.2,Forward,486.0,57.1,0,0,0,0.0,1,0,4,5,0,0,3,1,0.0,1,1,0,2,5.4,10.574074074074074,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.7407407407407407,0.9259259259259258,0.0,0.0,0.5555555555555555,0.18518518518518517,0.0,0.18518518518518517,0.18518518518518517,0.0,0.37037037037037035
Anis Ben Slimane,TUN,Norwich City,23,2001,5.7,Midfielder,900.0,85.0,0,7,0,0.0,9,3,201,89,7,6,24,7,22.2,4,19,3,41,10.0,8.5,0.0,0.7,0.0,0.0,0.9,0.3,20.1,8.9,0.7,0.6,2.4,0.7,2.2199999999999998,0.4,1.9,0.3,4.1
Joe Bennett,ENG,Oxford United,34,1990,3.5,Defender,847.0,79.3,0,1,0,0.0,1,0,116,19,1,1,1,4,57.1,0,9,2,18,9.411111111111111,8.42621015348288,0.0,0.10625737898465171,0.0,0.0,0.10625737898465171,0.0,12.325855962219599,2.0188902007083827,0.10625737898465171,0.10625737898465171,0.10625737898465171,0.42502951593860683,6.067296340023613,0.0,0.9563164108618654,0.21251475796930341,1.9126328217237307
Jóhann Berg Guðmundsson,ISL,Burnley,34,1990,0.2,Midfielder,1350.0,50.0,0,0,1,100.0,0,0,6,3,0,0,0,0,0.0,0,0,0,1,15.0,3.3333333333333335,0.0,0.0,0.06666666666666667,6.666666666666667,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
Di'Shon Bernard,JAM,Sheffield Weds,24,2000,13.0,Defender,628.0,84.8,0,1,0,20.0,8,0,231,27,0,2,3,5,66.7,1,18,16,42,6.977777777777778,12.152866242038217,0.0,0.14331210191082802,0.0,2.8662420382165603,1.1464968152866242,0.0,33.105095541401276,3.8694267515923566,0.0,0.28662420382165604,0.4299363057324841,0.7165605095541401,9.55891719745223,0.14331210191082802,2.5796178343949046,2.2929936305732483,6.019108280254777
Kian Best,ENG,Preston,19,2005,0.0,Defender,738.0,50.0,0,0,0,0.0,0,0,4,1,0,0,0,1,0.0,2,1,0,0,8.2,6.097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.48780487804878053,0.12195121951219513,0.0,0.0,0.0,0.12195121951219513,0.0,0.24390243902439027,0.12195121951219513,0.0,0.0
Florian Bianchini,FRA,Swansea City,23,2001,2.5,Forward,572.0,61.8,0,1,1,37.5,3,0,42,51,0,3,24,6,41.7,10,10,0,10,6.355555555555555,9.723776223776223,0.0,0.15734265734265734,0.15734265734265734,5.900349650349651,0.47202797202797203,0.0,6.608391608391609,8.024475524475525,0.0,0.47202797202797203,3.7762237762237763,0.9440559440559441,6.561188811188812,1.5734265734265735,1.5734265734265735,0.0,1.5734265734265735
Max Bird,ENG,Bristol City,24,2000,12.2,Midfielder,1137.0,75.9,2,18,1,29.4,31,7,269,188,3,18,37,16,33.3,24,25,17,41,12.633333333333333,6.007915567282323,0.158311345646438,1.424802110817942,0.079155672823219,2.3271767810026387,2.453825857519789,0.554089709762533,21.29287598944591,14.881266490765173,0.237467018469657,1.424802110817942,2.928759894459103,1.266490765171504,2.6358839050131926,1.899736147757256,1.978891820580475,1.345646437994723,3.245382585751979
Colby Bishop,ENG,Portsmouth,28,1996,0.1,Forward,815.0,16.7,0,1,1,0.0,0,0,5,4,0,0,0,0,20.0,0,0,1,0,9.055555555555555,1.8441717791411043,0.0,0.11042944785276074,0.11042944785276074,0.0,0.0,0.0,0.5521472392638037,0.44171779141104295,0.0,0.0,0.0,0.0,2.208588957055215,0.0,0.0,0.11042944785276074,0.0
Corey Blackett-Taylor,ENG,Derby County,27,1997,2.2,Forward,509.0,71.8,0,2,1,57.1,7,1,30,36,5,8,13,0,0.0,5,1,2,10,5.655555555555556,12.695481335952847,0.0,0.3536345776031434,0.1768172888015717,10.096267190569744,1.237721021611002,0.1768172888015717,5.304518664047151,6.365422396856581,0.8840864440078585,1.4145383104125735,2.298624754420432,0.0,0.0,0.8840864440078585,0.1768172888015717,0.3536345776031434,1.768172888015717
Josh Bowler,ENG,Preston,25,1999,2.3,Forward,1171.0,73.6,0,6,0,25.0,5,0,42,55,4,2,16,3,0.0,7,7,2,8,13.011111111111111,5.656703672075149,0.0,0.46114432109308284,0.0,1.9214346712211785,0.3842869342442357,0.0,3.22801024765158,4.227156276686593,0.3074295473953886,0.1537147736976943,1.2297181895815543,0.23057216054654142,0.0,0.53800170794193,0.53800170794193,0.1537147736976943,0.6148590947907772
Robbie Brady,IRL,Preston,32,1992,6.8,Forward,567.0,64.6,1,10,0,28.6,24,2,185,163,4,9,25,9,70.0,62,17,12,37,6.3,10.253968253968253,0.15873015873015872,1.5873015873015874,0.0,4.53968253968254,3.8095238095238098,0.31746031746031744,29.365079365079367,25.873015873015873,0.6349206349206349,1.4285714285714286,3.9682539682539684,1.4285714285714286,11.11111111111111,9.841269841269842,2.6984126984126986,1.9047619047619049,5.8730158730158735
Cameron Brannagan,ENG,Oxford United,28,1996,3.5,Midfielder,990.0,83.0,1,3,1,66.7,7,1,93,33,0,3,3,3,0.0,3,8,4,14,11.0,7.545454545454546,0.09090909090909091,0.2727272727272727,0.09090909090909091,6.0636363636363635,0.6363636363636364,0.09090909090909091,8.454545454545455,3.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.2727272727272727,0.7272727272727273,0.36363636363636365,1.2727272727272727
