player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Luke Southwood,NIR,Bolton,26,1997,5.0,,Goalkeeper,0,1,0,0.0,0.20,0.00,3.7,10,336,0,0,0,0
Jack Sowerby,ENG,Northampton,29,1995,6.8,,Midfielder,0,0,0,0,0.00,0.00,13.1,14,1181,0,1,5,8
Jack Sparkes,ENG,P'borough Utd,24,2000,14.1,,Defender,0,7,3,42.9,0.50,0.21,16.1,17,1451,1,61,16,10
Shay Spencer,,Reading,0,0,0.1,,Midfielder,0,0,0,0,0.00,0.00,8.6,12,776,0,0,0,0
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Jason Sraha,ENG,Burton Albion,22,2002,1.0,,Defender,0,0,0,0,0.00,0.00,1.3,4,121,0,0,3,3
Jay Stansfield,ENG,Birmingham City,22,2002,8.4,Midfielder,Forward,7,35,10,28.6,4.17,1.19,1.6,8,140,1,7,1,12
Jed Steer,ENG,P'borough Utd,32,1992,12.0,,Goalkeeper,0,0,0,0,0.00,0.00,0.1,1,5,0,0,0,0
Jack Stevens,ENG,Cambridge Utd,27,1997,1.0,,Goalkeeper,0,0,0,0,0.00,0.00,7.1,9,638,0,0,0,0
Joshua Stokes,,Cambridge Utd,0,0,2.5,Forward,Midfielder,0,5,2,40.0,2.00,0.80,17.0,17,1530,0,10,2,5
Josh Stones,ENG,Wigan Athletic,21,2003,0.8,,Forward,0,3,2,66.7,3.55,2.37,0,0,0,0,0,0,1
Robert Street,ENG,Lincoln City,23,2001,0.4,,Forward,0,2,0,0.0,4.74,0.00,0.6,2,50,0,3,0,0
Ronnie Stutter,ENG,Burton Albion,19,2005,0.2,,Forward,0,1,1,100.0,4.74,4.74,0.2,1,15,0,1,0,0
Ibrahim Suaib,ENG,Leyton Orient,25,1999,2.9,,Defender,0,0,0,0,0.00,0.00,7.9,11,711,0,12,4,5
Mahamadou Susoho,ESP,P'borough Utd,19,2005,0.7,,Midfielder,0,0,0,0,0.00,0.00,3.0,4,270,0,0,0,2
Will Swan,ENG,Crawley Town,24,2000,10.8,,Forward,3,13,9,69.2,1.20,0.83,4.7,7,425,9,1,1,3
Will Swan,ENG,Mansfield Town,24,2000,0.2,,Forward,0,0,0,0,0.00,0.00,3.9,10,351,0,1,0,1
Dan Sweeney,ENG,Stevenage,30,1994,3.2,,Defender,0,3,1,33.3,0.93,0.31,1.9,8,170,0,3,4,2
Pierce Sweeney,IRL,Exeter City,30,1994,15.9,,Defender,0,9,2,22.2,0.57,0.13,1.0,2,93,0,24,20,12
Ryan Sweeney,IRL,Burton Albion,27,1997,15.0,,Defender,0,10,0,0.0,0.67,0.00,16.0,16,1440,1,2,22,13
Chris Sze,ENG,Wigan Athletic,20,2003,1.1,,Midfielder,0,0,0,0,0.00,0.00,0,0,0,0,1,1,0
Lasse Sørensen,DEN,Huddersfield,25,1999,8.7,Defender,Midfielder,0,3,0,0.0,0.35,0.00,9.8,15,880,3,32,0,9
Ryan Tafazolli,ENG,Wycombe,33,1991,0.6,,Defender,0,0,0,0,0.00,0.00,16.0,16,1440,0,0,2,0
Benjamin Tanimu,NGA,Crawley Town,22,2002,0.4,,Defender,0,0,0,0,0.00,0.00,6.7,8,605,0,1,3,1
Caleb Taylor,ENG,Wycombe,21,2003,11.3,,Defender,0,9,2,22.2,0.80,0.18,13.8,15,1240,1,0,19,9
Connor Taylor,ENG,Bristol Rovers,23,2001,11.1,,Defender,0,7,1,14.3,0.63,0.09,12.5,13,1123,0,0,23,14
Dale Taylor,NIR,Wigan Athletic,20,2003,9.2,,Forward,2,13,4,30.8,1.41,0.44,0.4,2,36,2,0,2,4
Terry Taylor,SCO,Charlton Ath,23,2001,3.1,,Midfielder,0,4,1,25.0,1.30,0.33,5.0,7,453,1,31,6,1
Luke Thomas,ENG,Bristol Rovers,25,1999,7.6,,Midfielder,0,4,1,25.0,0.52,0.13,14.9,15,1337,0,22,6,15
Silko-Amari Thomas,ENG,Wigan Athletic,20,2004,11.1,,Midfielder,0,13,3,23.1,1.17,0.27,0,0,0,5,69,3,14
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
George Thomason,ENG,Bolton,22,2002,10.0,,Midfielder,2,13,3,23.1,1.30,0.30,0,0,0,1,14,12,10
Ben Thompson,ENG,Stevenage,29,1995,0.0,,Midfielder,0,1,0,0.0,90.00,0.00,0.8,2,72,0,0,0,0
Dominic Thompson,ENG,Blackpool,24,2000,0.3,Midfielder,Defender,0,0,0,0,0.00,0.00,14.0,16,1256,0,1,0,1
Louis Thompson,WAL,Stevenage,29,1994,11.3,,Midfielder,2,12,3,25.0,1.06,0.26,0,0,0,0,5,9,16
Nathan Thompson,ENG,Stevenage,34,1990,5.3,,Defender,0,2,0,0.0,0.38,0.00,6.3,10,568,0,0,3,6
Sam Tickle,ENG,Wigan Athletic,22,2002,16.0,,Goalkeeper,0,0,0,0,0.00,0.00,1.8,8,166,0,0,0,1
Christ Tiéhi,CIV,Rotherham Utd,26,1998,10.9,,Midfielder,0,9,1,11.1,0.83,0.09,4.5,8,405,0,11,6,10
Eoin Toal,NIR,Bolton,25,1999,9.3,,Defender,1,5,3,60.0,0.54,0.32,3.8,7,339,0,4,9,12
Ibou Touray,GAM,Stockport,29,1994,13.2,Midfielder,Defender,0,3,0,0.0,0.23,0.00,5.5,13,497,0,40,13,10
Connal Trueman,ENG,Crawley Town,28,1996,4.0,,Goalkeeper,0,0,0,0,0.00,0.00,7.4,15,662,0,0,0,0
Basil Tuma,MLT,Reading,18,2006,0.5,,Forward,0,0,0,0,0.00,0.00,1.7,3,153,1,2,0,1
Oliver Turton,ENG,Huddersfield,31,1992,2.8,,Midfielder,0,0,0,0,0.00,0.00,11.0,11,990,1,8,1,1
Harry Tyrer,ENG,Blackpool,22,2001,9.0,,Goalkeeper,0,0,0,0,0.00,0.00,6.7,11,603,0,0,0,0
Nik Tzanev,NZL,Northampton,27,1996,0.2,,Goalkeeper,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0
Daniel Udoh,NGA,Wycombe,28,1996,10.2,Midfielder,Forward,4,22,11,50.0,2.15,1.08,3.0,7,268,4,3,5,8
Terence Vancooten,GUY,Burton Albion,26,1997,12.4,,Defender,0,7,0,0.0,0.56,0.00,6.6,8,595,1,3,20,10
Sam Vokes,WAL,Wycombe,35,1989,0.3,,Forward,2,3,2,66.7,11.25,7.50,15.6,16,1406,0,0,0,0
Martyn Waghorn,ENG,Northampton,34,1990,0.8,Midfielder,Forward,0,1,0,0.0,1.25,0.00,11.4,15,1030,0,0,1,1
Ben Waine,NZL,Mansfield Town,23,2001,3.3,,Forward,1,5,2,40.0,1.50,0.60,12.9,14,1159,3,3,1,1
Oscar Wallin,SWE,P'borough Utd,23,2001,14.0,,Defender,0,3,0,0.0,0.21,0.00,5.1,13,456,0,0,23,19
Danny Ward,ENG,Huddersfield,32,1991,3.2,,Forward,0,9,4,44.4,2.83,1.26,8.4,13,756,1,7,0,3
Grant Ward,ENG,Bristol Rovers,29,1994,7.8,,Midfielder,1,7,2,28.6,0.89,0.25,3.6,7,327,0,6,7,8
Jayden Wareham,ENG,Reading,21,2003,2.7,,Forward,1,5,2,40.0,1.84,0.74,3.0,4,270,3,0,1,5
Lewis Warrington,ENG,Leyton Orient,22,2002,2.8,,Midfielder,0,2,0,0.0,0.73,0.00,5.0,5,450,0,3,2,2
Tennai Watson,ENG,Charlton Ath,27,1997,1.4,Defender,Midfielder,0,0,0,0,0.00,0.00,6.8,10,610,0,1,2,1
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Elliot Watt,SCO,Burton Albion,24,2000,15.0,,Midfielder,0,14,5,35.7,0.93,0.33,14.1,16,1266,0,69,13,19
Max Watters,ENG,Barnsley,25,1999,4.4,,Forward,3,12,8,66.7,2.75,1.83,0.1,1,11,3,3,0,1
Caleb Watts,AUS,Exeter City,22,2002,1.7,,Midfielder,1,5,1,20.0,2.88,0.58,1.0,3,94,4,4,0,1
Kelland Watts,ENG,Cambridge Utd,25,1999,1.0,,Defender,0,2,0,0.0,2.09,0.00,8.4,10,755,0,1,1,1
Charlie Webster,ENG,Burton Albion,20,2004,5.4,,Midfielder,1,12,4,33.3,2.23,0.74,12.0,12,1080,2,9,4,11
Jensen Weir,SCO,Wigan Athletic,22,2002,6.0,,Midfielder,0,8,2,25.0,1.34,0.34,1.0,1,90,1,4,0,4
David Wheeler,ENG,Wycombe,34,1990,1.1,,Midfielder,0,2,1,50.0,1.89,0.95,2.5,3,225,1,0,1,4
Harvey White,ENG,Stevenage,23,2001,10.3,,Midfielder,1,11,2,18.2,1.06,0.19,0.8,3,76,1,86,9,20
Ben Whitfield,ENG,Burton Albion,28,1996,11.6,,Midfielder,1,24,8,33.3,2.06,0.69,0.4,5,38,7,34,5,4
Joseph Whitworth,ENG,Exeter City,20,2004,16.0,,Goalkeeper,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0
George Wickens,ENG,Lincoln City,23,2001,15.8,,Goalkeeper,0,0,0,0,0.00,0.00,0.2,1,19,0,0,0,0
Luther Wildin,ATG,Stevenage,26,1997,12.0,,Defender,0,1,0,0.0,0.08,0.00,2.9,5,263,0,14,20,16
Ben Wiles,ENG,Huddersfield,25,1999,14.7,,Midfielder,5,30,11,36.7,2.03,0.75,0.7,1,65,1,53,3,9
Mallik Wilks,ENG,Rotherham Utd,25,1998,11.4,Forward,Midfielder,3,39,13,33.3,3.42,1.14,10.8,14,974,8,32,1,6
Dylan Williams,ENG,Burton Albion,21,2003,7.6,Defender,Midfielder,0,2,0,0.0,0.26,0.00,0.2,1,16,6,26,4,10
George Williams,ENG,Mansfield Town,31,1993,2.1,,Defender,0,0,0,0,0.00,0.00,3.2,4,290,0,0,1,6
Jay Williams,SKN,Crawley Town,24,2000,11.4,,Midfielder,0,10,2,20.0,0.87,0.17,15.9,16,1428,1,0,11,4
Randell Williams,ENG,Bolton,27,1996,3.4,,Midfielder,1,6,2,33.3,1.76,0.59,15.0,15,1350,0,23,5,3
Jordan Willis,ENG,Northampton,30,1994,2.1,,Defender,0,0,0,0,0.00,0.00,1.1,3,103,0,0,6,1
James Wilson,WAL,Bristol Rovers,35,1989,17.0,,Defender,1,7,2,28.6,0.41,0.12,8.7,11,779,2,10,51,19
James Wilson,ENG,Northampton,28,1995,0.3,Midfielder,Forward,0,0,0,0,0.00,0.00,0.6,1,57,0,0,0,0
Carl Winchester,NIR,Shrewsbury,31,1993,8.6,Defender,Midfielder,1,7,2,28.6,0.82,0.23,0.4,3,38,0,3,15,23
Lewis Wing,ENG,Reading,29,1995,16.0,,Midfielder,2,28,6,21.4,1.75,0.37,11.3,12,1015,0,73,18,23
Jojo Wollacott,GHA,Crawley Town,28,1996,13.0,,Goalkeeper,0,0,0,0,0.00,0.00,11.1,14,1001,0,0,0,1
Ryan Woods,ENG,Exeter City,30,1993,12.5,,Midfielder,1,2,1,50.0,0.16,0.08,9.2,13,827,0,19,10,8
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Kyle Wootton,ENG,Stockport,28,1996,14.0,,Forward,6,33,17,51.5,2.35,1.21,3.1,5,276,6,2,3,5
Scott Wright,SCO,Birmingham City,27,1997,2.0,Midfielder,Forward,1,8,1,12.5,3.98,0.50,7.6,11,686,0,7,0,0
Gassan Yahyai,MAR,Charlton Ath,24,2000,7.0,,Forward,1,9,5,55.6,1.28,0.71,11.1,14,998,5,0,0,2
Johnly Yfeko,ENG,Exeter City,21,2003,11.0,,Defender,0,5,0,0.0,0.46,0.00,10.0,11,902,0,8,13,16
Vimal Yoganathan,WAL,Barnsley,18,2006,1.2,,Midfielder,0,3,0,0.0,2.48,0.00,0.0,1,1,0,0,1,2
Ayumu Yokoyama,JPN,Birmingham City,21,2003,1.6,,Forward,0,5,2,40.0,3.21,1.29,0.3,2,26,2,9,0,1
Jake Young,ENG,Stevenage,23,2001,4.3,Midfielder,Forward,1,8,5,62.5,1.88,1.17,11.3,13,1020,1,2,0,1
Willum Þór Willumsson,ISL,Birmingham City,26,1998,12.9,,Midfielder,4,33,13,39.4,2.56,1.01,5.3,7,476,1,18,7,11
,,,,,,,,,,,,,,16.0,16,1440,,,,
,,,,,,,,,,,,,,10.9,14,978,,,,
,,,,,,,,,,,,,,9.3,10,840,,,,
,,,,,,,,,,,,,,0,0,0,,,,
,,,,,,,,,,,,,,13.2,16,1187,,,,
,,,,,,,,,,,,,,4.0,4,360,,,,
,,,,,,,,,,,,,,0.5,4,42,,,,
,,,,,,,,,,,,,,2.8,5,254,,,,
,,,,,,,,,,,,,,9.0,9,810,,,,
,,,,,,,,,,,,,,0.2,1,19,,,,
,,,,,,,,,,,,,,10.2,15,919,,,,
,,,,,,,,,,,,,,12.4,14,1118,,,,
,,,,,,,,,,,,,,0.3,2,24,,,,
,,,,,,,,,,,,,,0.8,4,72,,,,
,,,,,,,,,,,,,,3.3,11,300,,,,
,,,,,,,,,,,,,,14.0,15,1259,,,,
,,,,,,,,,,,,,,3.2,7,286,,,,
,,,,,,,,,,,,,,90s,MP,Min,,,,
,,,,,,,,,,,,,,7.8,15,706,,,,
,,,,,,,,,,,,,,2.7,10,244,,,,
,,,,,,,,,,,,,,2.8,8,248,,,,
,,,,,,,,,,,,,,0,0,0,,,,
,,,,,,,,,,,,,,1.4,5,128,,,,
,,,,,,,,,,,,,,0,0,0,,,,
,,,,,,,,,,,,,,15.0,15,1350,,,,
,,,,,,,,,,,,,,4.4,9,393,,,,
,,,,,,,,,,,,,,1.7,5,156,,,,
,,,,,,,,,,,,,,1.0,3,86,,,,
,,,,,,,,,,,,,,5.4,8,484,,,,
,,,,,,,,,,,,,,6.0,10,537,,,,
,,,,,,,,,,,,,,1.1,4,95,,,,
,,,,,,,,,,,,,,10.3,16,930,,,,
,,,,,,,,,,,,,,11.6,16,1047,,,,
,,,,,,,,,,,,,,16.0,16,1440,,,,
,,,,,,,,,,,,,,15.8,16,1424,,,,
,,,,,,,,,,,,,,12.0,12,1080,,,,
,,,,,,,,,,,,,,14.7,16,1327,,,,
,,,,,,,,,,,,,,11.4,13,1025,,,,
,,,,,,,,,,,,,,7.6,11,688,,,,
,,,,,,,,,,,,,,2.1,3,191,,,,
,,,,,,,,,,,,,,11.4,12,1030,,,,
,,,,,,,,,,,,,,3.4,8,307,,,,
,,,,,,,,,,,,,,2.1,5,187,,,,
,,,,,,,,,,,,,,90s,MP,Min,,,,
,,,,,,,,,,,,,,17.0,17,1530,,,,
,,,,,,,,,,,,,,0.3,3,26,,,,
,,,,,,,,,,,,,,8.6,10,773,,,,
,,,,,,,,,,,,,,16.0,16,1440,,,,
,,,,,,,,,,,,,,13.0,13,1170,,,,
,,,,,,,,,,,,,,0,0,0,,,,
,,,,,,,,,,,,,,12.5,13,1127,,,,
,,,,,,,,,,,,,,14.0,17,1264,,,,
,,,,,,,,,,,,,,2.0,5,181,,,,
,,,,,,,,,,,,,,0,0,0,,,,
,,,,,,,,,,,,,,7.0,11,633,,,,
,,,,,,,,,,,,,,11.0,11,987,,,,
,,,,,,,,,,,,,,1.2,3,109,,,,
,,,,,,,,,,,,,,1.6,8,140,,,,
,,,,,,,,,,,,,,4.3,8,383,,,,
,,,,,,,,,,,,,,0,0,0,,,,
,,,,,,,,,,,,,,0,0,0,,,,
,,,,,,,,,,,,,,12.9,15,1159,,,,
,,,,,,,,,,,,,,0,0,0,,,,
