player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Arthur Okonkwo,ENG,Wrexham,23,2001,14.0,,Goalkeeper,0,0,0,0,0.00,0.00,10.8,12,974,0,0,0,0
Michael Olakigbe,ENG,Wigan Athletic,20,2004,3.5,,Midfielder,0,7,4,57.1,1.98,1.13,5.3,7,481,2,16,2,1
Isaac Olaofe,ENG,Stockport,25,1999,5.8,,Forward,2,16,6,37.5,2.74,1.03,13.2,16,1191,6,3,1,3
Promise Omochere,IRL,Bristol Rovers,24,2000,10.5,,Forward,2,20,6,30.0,1.90,0.57,8.9,17,800,10,5,3,10
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Josh Onomah,ENG,Blackpool,27,1997,1.4,,Midfielder,0,2,0,0.0,1.42,0.00,13.8,15,1239,0,3,2,8
Tyler Onyango,ENG,Stockport,21,2003,3.8,,Defender,0,2,0,0.0,0.52,0.00,17.0,17,1530,1,2,3,11
Fred Onyedinma,ENG,Wycombe,28,1996,6.6,,Midfielder,5,8,7,87.5,1.21,1.06,7.1,15,638,1,3,3,2
Danilo Orsi-Dadamo,ENG,Burton Albion,28,1996,13.7,,Forward,6,12,7,58.3,0.88,0.51,2.4,5,212,8,6,3,5
Jordi Osei-Tutu,ENG,Bolton,26,1998,1.8,Midfielder,Defender,0,2,0,0.0,1.11,0.00,7.0,7,630,0,5,0,4
Deji Oshilaja,ENG,Mansfield Town,31,1993,15.0,,Defender,1,5,3,60.0,0.33,0.20,0.9,5,83,1,10,32,8
Detlef Osong,ENG,Rotherham Utd,20,2004,1.1,,Forward,0,2,1,50.0,1.80,0.90,14.9,15,1339,1,1,0,0
Ollie Palmer,ENG,Wrexham,32,1992,13.2,,Forward,3,20,7,35.0,1.51,0.53,6.9,13,624,9,2,3,10
Jasper Pattenden,ENG,Wycombe,22,2002,4.9,,Defender,0,0,0,0,0.00,0.00,9.4,11,842,0,2,2,6
Kai Payne,ENG,Wigan Athletic,20,2004,0.4,,Midfielder,0,0,0,0,0.00,0.00,0,0,0,0,0,3,2
Bailey Peacock-Farrell,NIR,Birmingham City,28,1996,7.0,,Goalkeeper,0,0,0,0,0.00,0.00,12.3,15,1110,0,0,0,0
Matty Pearson,ENG,Huddersfield,31,1993,7.8,,Defender,4,7,4,57.1,0.90,0.51,5.6,7,501,1,13,8,7
Matthew Pennington,ENG,Blackpool,30,1994,5.7,,Defender,0,4,0,0.0,0.70,0.00,9.6,14,860,0,1,12,11
Sonny Perkins,ENG,Leyton Orient,20,2004,3.2,,Midfielder,1,6,2,33.3,1.86,0.62,9.6,10,861,1,2,1,1
Taylor Perry,ENG,Shrewsbury,23,2001,4.6,,Midfielder,0,0,0,0,0.00,0.00,3.0,7,267,0,7,7,8
Adam Phillips,ENG,Barnsley,26,1998,12.0,,Midfielder,5,30,11,36.7,2.51,0.92,1.3,3,118,1,31,6,6
Daniel Phillips,TRI,Stevenage,23,2001,11.9,,Midfielder,0,8,2,25.0,0.67,0.17,6.3,12,566,0,6,13,24
Dillon Phillips,ENG,Rotherham Utd,29,1995,8.0,,Goalkeeper,0,0,0,0,0.00,0.00,14.1,15,1266,0,0,0,0
Carl Piergianni,ENG,Stevenage,32,1992,15.0,,Defender,1,18,4,22.2,1.20,0.27,15.5,16,1394,2,1,11,10
Aaron Pierre,GRN,Shrewsbury,31,1993,7.3,,Defender,1,3,2,66.7,0.41,0.27,14.9,17,1339,1,0,5,9
Donovan Pines,USA,Barnsley,26,1998,5.6,,Defender,1,2,1,50.0,0.36,0.18,2.4,9,220,0,0,9,7
