player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90,value
Sam Greenwood,ENG,Preston,22,Forward,1524.0,16.933333333333334,3.5492125984251968,0.1181102362204724,0.8267716535433071,0.2362204724409448,2.320866141732284,2.8937007874015745,0.1771653543307086,12.578740157480317,13.523622047244094,0.5905511811023622,1.7125984251968505,3.956692913385827,0.4724409448818897,1.5413385826771655,4.3700787401574805,0.8858267716535433,0.2362204724409448,2.4803149606299213,4500000.0
Makhtar Gueye,SEN,Blackburn,27,Forward,1250.0,13.88888888888889,3.3552,0.216,0.36,0.0,2.2176,0.864,0.216,8.424,5.472,0.288,0.72,1.728,0.36,3.5208,0.288,0.648,0.288,1.656,2000000.0
Hayden Hackney,ENG,Middlesbrough,22,Midfielder,616.0,6.844444444444444,12.228896103896105,0.1461038961038961,3.7987012987012982,0.2922077922077922,5.478896103896104,8.474025974025974,0.8766233766233766,112.6461038961039,49.38311688311688,2.9220779220779223,5.551948051948052,4.967532467532468,1.168831168831169,5.8441558441558445,1.8993506493506491,3.7987012987012982,2.0454545454545454,14.902597402597404,7000000.0
Micah Hamilton,ENG,Middlesbrough,21,Forward,633.0,7.033333333333333,12.440758293838863,0.0,1.4218009478672986,0.0,2.843601895734597,0.9952606635071092,0.0,9.24170616113744,16.919431279620852,0.4265402843601896,2.985781990521327,5.545023696682464,0.2843601895734597,7.109004739336493,0.7109004739336493,0.7109004739336493,0.0,1.848341232227488,3200000.0
Ryan Hardie,SCO,Plymouth Argyle,27,Forward,925.0,10.27777777777778,5.818378378378378,0.0972972972972972,0.3891891891891891,0.0972972972972972,2.4324324324324325,1.0702702702702702,0.1945945945945945,6.2270270270270265,8.172972972972973,0.4864864864864864,0.9729729729729728,3.5027027027027025,0.4864864864864864,1.8194594594594595,0.3891891891891891,0.681081081081081,0.0972972972972972,1.1675675675675674,1800000.0
Mark Harris,WAL,Oxford United,25,Forward,673.0,7.477777777777778,10.430906389301636,0.0,0.4011887072808321,0.5349182763744428,6.980683506686479,2.139673105497771,0.0,20.59435364041605,16.047548291233284,1.2035661218424962,1.7384843982169391,5.482912332838039,0.5349182763744428,1.9791976225854384,0.0,1.0698365527488856,0.1337295690936107,3.8781575037147102,700000.0
Ryan Hedges,WAL,Blackburn,29,Forward,1249.0,13.877777777777778,5.130504403522818,0.0720576461168935,1.0088070456365092,0.0720576461168935,2.651721377101681,2.089671737389912,0.144115292233787,20.824659727782223,17.942353883106485,0.5764611689351481,2.8102481985588468,6.917534027221778,0.7926341072858286,3.602882305844676,2.7381905524419534,2.522017614091273,0.9367493995196156,3.602882305844676,1200000.0
Jordan Houghton,ENG,Plymouth Argyle,29,Midfielder,915.0,10.166666666666666,6.236065573770492,0.0,0.0983606557377049,0.0,4.918032786885246,0.5901639344262295,0.0,10.229508196721312,2.8524590163934427,0.0,0.0,0.3934426229508197,0.2950819672131147,5.360655737704918,0.6885245901639344,0.6885245901639344,0.3934426229508197,1.278688524590164,1500000.0
Jonny Howson,ENG,Middlesbrough,36,Midfielder,727.0,8.077777777777778,10.324621733149932,0.0,0.2475928473177441,0.0,6.1898211829436045,0.9903713892709768,0.0,21.540577716643742,8.541953232462173,0.2475928473177441,0.2475928473177441,0.8665749656121046,0.2475928473177441,3.0949105914718023,0.9903713892709768,0.8665749656121046,0.4951856946354883,2.1045392022008254,0.0
Vakoun Issouf Bayo,CIV,Watford,27,Forward,1168.0,12.977777777777778,5.879280821917808,0.0,0.3082191780821918,0.5393835616438356,3.336472602739726,1.1558219178082192,0.1541095890410959,11.558219178082192,11.789383561643836,0.4623287671232877,0.6934931506849314,3.3904109589041096,0.3082191780821918,2.843321917808219,0.0770547945205479,0.5393835616438356,0.1541095890410959,1.3099315068493151,0.0
Mihailo Ivanović,SRB,Millwall,20,Forward,1298.0,14.422222222222222,4.85362095531587,0.0,0.0693374422187981,0.0693374422187981,4.6248073959938365,0.3466872110939907,0.1386748844375963,2.4961479198767336,2.357473035439137,0.1386748844375963,0.0693374422187981,0.6933744221879815,0.1386748844375963,1.8235747303543917,0.0693374422187981,0.1386748844375963,0.0,0.4160246533127889,0.0
Eom Jisung,KOR,Swansea City,22,Forward,1710.0,19.0,3.826315789473684,0.0526315789473684,0.5263157894736842,0.0,0.7894736842105263,1.3157894736842106,0.0526315789473684,6.368421052631579,9.894736842105264,0.7894736842105263,1.0526315789473684,3.473684210526316,0.3684210526315789,1.831578947368421,2.1578947368421053,0.6842105263157895,0.2105263157894736,1.2105263157894737,0.0
Daniel Johnson,JAM,Stoke City,32,Forward,578.0,6.422222222222223,15.570934256055365,0.0,0.0,0.0,0.0,0.0,0.0,0.3114186851211072,0.1557093425605536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557093425605536,0.0
Michael Johnston,IRL,West Brom,25,Forward,1150.0,12.77777777777778,6.16695652173913,0.0782608695652173,0.7043478260869565,0.0,1.8391304347826083,2.7391304347826084,0.3130434782608695,10.565217391304348,16.2,1.1739130434782608,2.7391304347826084,3.6,0.3913043478260869,0.868695652173913,1.9565217391304344,0.7826086956521738,0.2347826086956521,1.9565217391304344,0.0
Isaiah Jones,GUY,Middlesbrough,25,Forward,470.0,5.222222222222222,14.05531914893617,0.0,2.6808510638297878,0.0,4.787234042553191,4.595744680851063,0.3829787234042553,21.638297872340424,31.40425531914893,0.9574468085106382,3.829787234042553,12.638297872340424,1.1489361702127658,5.897872340425532,2.297872340425532,2.872340425531915,0.7659574468085106,5.361702127659575,4000000.0
Bae Junho,KOR,Stoke City,21,Forward,1300.0,14.444444444444445,5.102307692307693,0.3461538461538461,0.8307692307692307,0.0,1.9246153846153848,3.669230769230769,0.4846153846153846,23.26153846153846,20.976923076923075,1.8692307692307693,2.907692307692308,6.576923076923077,0.8307692307692307,2.305384615384616,4.015384615384615,1.9384615384615385,0.7615384615384615,5.884615384615384,0.0
Abu Kamara,ENG,Hull City,21,Forward,794.0,8.822222222222223,8.217884130982368,0.2267002518891687,1.0201511335012594,0.0,4.250629722921914,3.060453400503778,0.3400503778337531,13.148614609571789,19.38287153652393,1.1335012594458438,4.534005037783375,9.06801007556675,0.4534005037783375,4.86272040302267,3.400503778337532,1.2468513853904282,0.7934508816120907,3.740554156171284,4000000.0
Wilfried Kanga,CIV,Cardiff City,26,Forward,674.0,7.488888888888889,8.051928783382788,0.0,0.2670623145400593,0.0,2.6706231454005933,0.6676557863501483,0.1335311572700296,5.207715133531157,5.741839762611276,0.1335311572700296,0.5341246290801187,2.4035608308605343,0.0,5.167655786350148,0.1335311572700296,0.0,0.0,0.400593471810089,4000000.0
Edo Kayembe,COD,Watford,26,Midfielder,1162.0,12.911111111111111,6.289156626506024,0.0,0.6970740103270223,0.387263339070568,2.695352839931153,2.5559380378657486,0.2323580034423407,25.559380378657487,14.638554216867467,0.5421686746987951,0.8519793459552496,2.943201376936317,0.387263339070568,2.0524956970740105,1.549053356282272,1.3166953528399312,0.5421686746987951,4.724612736660929,3000000.0
Will Keane,IRL,Preston,31,Midfielder,744.0,8.266666666666667,10.125,0.0,0.1209677419354838,0.1209677419354838,2.419354838709677,0.3629032258064515,0.0,7.379032258064515,4.71774193548387,0.1209677419354838,0.0,1.2096774193548383,0.1209677419354838,6.907258064516128,0.1209677419354838,0.2419354838709677,0.2419354838709677,2.056451612903225,900000.0
Luca Koleosho,ITA,Burnley,20,Forward,934.0,10.377777777777778,7.111349036402569,0.0,2.505353319057816,0.1927194860813704,3.2087794432548176,4.817987152034261,0.0963597430406852,28.23340471092077,35.65310492505353,3.661670235546038,6.4561027837259095,13.49036402569593,1.0599571734475377,1.6766595289079227,5.492505353319058,2.601713062098501,0.4817987152034261,6.070663811563169,12000000.0
Lewis Koumas,WAL,Stoke City,19,Midfielder,561.0,6.233333333333333,11.06951871657754,0.160427807486631,1.4438502673796791,0.481283422459893,5.101604278074866,4.171122994652406,0.481283422459893,16.363636363636363,22.62032085561497,1.925133689839572,5.614973262032086,8.502673796791443,0.962566844919786,2.085561497326203,1.925133689839572,3.5294117647058822,0.8021390374331551,4.331550802139037,1500000.0
Tom Krauß,GER,Luton Town,23,Midfielder,520.0,5.777777777777778,13.084615384615384,0.5192307692307693,1.5576923076923077,0.173076923076923,1.7307692307692308,3.2884615384615383,0.6923076923076923,39.98076923076923,24.57692307692308,0.8653846153846154,1.2115384615384617,3.4615384615384617,3.2884615384615383,9.882692307692308,1.0384615384615383,8.653846153846153,1.2115384615384617,12.807692307692308,4000000.0
Paddy Lane,NIR,Portsmouth,23,Midfielder,511.0,5.677777777777778,11.131115459882585,0.1761252446183953,0.5283757338551859,0.0,7.045009784735812,2.4657534246575343,0.1761252446183953,15.499021526418788,17.26027397260274,0.5283757338551859,2.2896281800391387,6.516634050880626,0.3522504892367906,2.5185909980430528,3.698630136986301,1.761252446183953,0.1761252446183953,3.1702544031311155,700000.0
Callum Lang,ENG,Portsmouth,26,Midfielder,1398.0,15.533333333333331,3.881974248927039,0.0643776824034334,0.3218884120171674,0.3218884120171674,1.9506437768240343,1.738197424892704,0.4506437768240343,7.854077253218884,11.909871244635193,0.9012875536480688,1.9957081545064377,3.476394849785408,0.3862660944206008,2.6845493562231764,1.0300429184549356,1.094420600858369,0.3218884120171674,3.0901287553648067,900000.0
Josh Laurent,ENG,Burnley,29,Midfielder,1662.0,18.466666666666665,4.1642599277978345,0.0541516245487364,0.5415162454873647,0.0,0.7743682310469315,0.9747292418772564,0.0541516245487364,12.12996389891697,5.577617328519856,0.3790613718411553,0.7581227436823106,1.787003610108303,0.2707581227436823,3.249097472924188,0.3790613718411553,0.5956678700361011,0.5415162454873647,1.9494584837545128,2000000.0
Tom Leahy,ENG,Millwall,20,Forward,836.0,9.28888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1076555023923444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Leonard,ENG,Blackburn,21,Midfielder,774.0,8.6,3.8720930232558137,0.0,0.0,0.0,0.0,0.1162790697674418,0.0,0.4651162790697674,0.4651162790697674,0.0,0.0,0.2325581395348837,0.0,8.720930232558139,0.0,0.0,0.0,0.0,1000000.0
Alfie Lloyd,ENG,QPR,21,Forward,1620.0,18.0,3.938888888888889,0.0,0.0,0.0555555555555555,1.3888888888888888,0.3888888888888889,0.0,2.2777777777777777,3.388888888888889,0.2777777777777778,0.5,0.8333333333333334,0.0555555555555555,1.588888888888889,0.0555555555555555,0.2222222222222222,0.0,0.3888888888888889,300000.0
Ryan Longman,ENG,Hull City,24,Forward,455.0,5.055555555555555,13.114285714285714,0.0,0.3956043956043956,0.0,9.89010989010989,2.175824175824176,0.0,3.164835164835165,14.043956043956044,0.989010989010989,1.5824175824175826,5.736263736263736,0.1978021978021978,11.868131868131869,2.571428571428572,0.5934065934065934,0.0,1.3846153846153846,2000000.0
Imran Louza,MAR,Watford,25,Midfielder,651.0,7.233333333333333,11.322580645161292,0.0,0.4147465437788018,0.0,5.184331797235023,2.350230414746544,0.1382488479262673,34.56221198156682,12.027649769585253,0.4147465437788018,0.5529953917050692,1.2442396313364057,0.1382488479262673,9.221198156682028,3.870967741935484,1.1059907834101383,0.4147465437788018,3.870967741935484,0.0
